SITE_ID,DOMGEOL_BSN,DAMCNT_BSN,DAMDEN_BSN,ELEV_SITE,ELEVMAX_BSN,ELEVMEAN_BSN,ELEVMIN_BSN,GNEISSAREA_BSN,GNEISSPCT_BSN,GRANITICAREA_BSN,GRANITICPCT_BSN,HOUSEDEN_BSN,MAFULAREA_BSN,MAFULPCT_BSN,PERMRATE_BSN,PERMRATE_SITE,POPDEN_BSN,PSUM6M_BSN,PSUMPY_BSN,QTRNRYAREA_BSN,QTRNRYPCT_BSN,ROADDEN_BSN,SANDPCT_BSN,SITE_GEOLOGY,PMEAN_BSN,PMIN_BSN,PMAX_BSN,PIP_BSN,TIP_BSN,TMEAN_BSN,TMAX_BSN,TMIN_BSN,TMEANSD_BSN,TMINSD_BSN,TMAXSD_BSN,PMIN_PT,PMAX_PT,PMEAN_PT,PIP_PT,TIP_PT,TMIN_PT,TMAX_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT
NLA_MI-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_NE-106,SDMNTRY,3,0.147619338,38970,47851,43407.10156,38913,0,0,0,0,8.594779,0,0,1.320709,1,20.959299,19166.19922,71678.39844,0,0,0.938703,38.212501,SDMNTRY,73746.39844,1652.73999,10888.29981,22281.09961,2211.830078,1039.77002,1660.51001,419.027008,81.099701,73.467903,100.334999,1670,10945,73998,22622,2219.5,432,1664,1047.979981,-152.332993,1166.630005
NLA12_NE-107,SDMNTRY,0,0,116548,122589,118123,116548,0,0,0,0,0.391308,0,0,29.194599,30,0.568431,9266.910156,46760.89844,0,0,0.909966,68.953002,SDMNTRY,44319.60156,735.409973,7468.200195,9580.740234,2067.169922,900.083984,1677.319946,122.847,99.027802,99.8853,105.075996,734,7495,44404,9733,2069.419922,127,1685,905.958984,-258.696014,966.926025
NLA12_NE-108,SDMNTRY,0,0,90558,98868,92197,90407,0,0,0,0,0.192172,0,0,26.4615,28,0.304913,15175.5,67098.60156,0,0,0.409769,74.305,SDMNTRY,55445,975.374023,8981.349609,11464.90039,2126.590088,890.440979,1616.390015,164.479004,95.268501,83.040398,113.740997,972,8965,55204,11473,2126.949951,162,1616,888.916992,-160.455002,1010.030029
NLA12_NE-109,SDMNTRY,0,0,91599,94730,92542.5,90771,0,0,0,0,3.498939,0,0,22.127799,0,8.106149,12699.29981,61060.5,0,0,1.29125,69.352096,SDMNTRY,52590.30078,822.051025,9197,9234.110352,2141.219971,950.382019,1702.859985,197.917007,78.650299,74.3088,93.051399,819,9217,52600,9131,2145.899902,200,1706,953.14801,-173.167007,1047.75
NLA12_NE-110,SDMNTRY,1,0.054783907,42583,45319,44168.10156,42407,0,0,0,0,3.523149,0,0,1,1,7.95026,29531.09961,78050.70313,0,0,1.47191,65.725196,SDMNTRY,81651.10156,1820.130005,12718,25560.09961,2252.929932,1083.050049,1691.459961,474.627991,77.836899,74.224403,97.878502,1812,12205,81789,25537,2255.699951,472,1702,1087.479981,-46.666699,1233.75
NLA12_NE-111,SDMNTRY,0,0,125520,137893,128542,125386,0,0,0,0,4.97976,0,0,15.354399,28,10.100299,6100.609863,37351.80078,0,0,2.15324,64.913002,SDMNTRY,38891.69922,676.015991,7535.979981,8877.740234,2091.909912,912.487976,1710.050049,114.933998,63.8167,54.4744,81.122299,680,7537,38796,8780,2097,120,1723,921.572998,-228,994.208008
NLA12_NE-112,SDMNTRY,1,0.014759214,105814,114731,108843,105813,0,0,0,0,1.24809,0,0,24.6837,28,2.26564,9916.80957,56138.5,0,0,0.533854,66.200401,SDMNTRY,47938.69922,880.46698,8661.230469,13703,2009.369995,834.327026,1579.329956,89.335602,83.041298,80.934998,97.3741,889,8618,48007,13997,2017.900024,98,1585,841.538025,-297.833008,920.208008
NLA12_NE-113,SDMNTRY,0,0,72921,76214,73710.20313,72886,0,0,0,0,0.417921,0,0,28,28,0.721009,17024.40039,71185,0,0,1.43055,80,SDMNTRY,61632.10156,1164.479981,9933.040039,15393.79981,2065.159912,891.185974,1580.349976,202.022003,78.197197,69.586403,99.5644,1164,9935,61621,15383,2062.949951,203,1579,890.687988,-195.360001,1017.090027
NLA12_NE-114,SDMNTRY,0,0,65771,73550,68156.79688,64282,0,0,0,0,3.25898,0,0,2.783649,0,4.56302,17469.30078,67883.70313,0,0,1.34028,4.163499,SDMNTRY,66811.60156,1371.130005,10646.40039,11155.09961,2110.659912,931.927002,1642.27002,221.582993,90.4319,85.810303,106.640999,1385,10708,67293,11320,2116.300049,237,1647,942.171021,-211,1043.130005
NLA12_NE-117,SDMNTRY,0,0,70770,74527,71841.5,70767,0,0,0,0,0.474503,0,0,24.2299,0,0.870608,17106.90039,70879.5,0,0,1.07665,63.3316,SDMNTRY,61727.5,1160.969971,9920.370117,15661.79981,2070.030029,896.21698,1582.569946,209.891007,79.663399,70.531502,100.364998,1155,9927,61648,15662,2070.01001,212,1582,896.794006,-195.748993,1022.729981
NLA12_NE-121,SDMNTRY,0,0,88124,94644,89240.20313,88069,0,0,0,0,0.192172,0,0,22.725799,0,0.304913,15431.90039,69104.89844,0,0,0.834,70.958602,SDMNTRY,56356,990.801025,9044.549805,11698.59961,2125.120117,891.656982,1611.979981,171.343994,99.807198,86.990196,118.238998,996,9040,56208,11547,2117.97998,174,1613,893.401001,-155.013001,1016.419983
NLA12_NE-125,SDMNTRY,0,0,87937,92622,89345.10156,87937,0,0,0,0,0.192172,0,0,28,28,0.304913,15396.40039,69190,0,0,0.987348,80,SDMNTRY,56455.89844,988.60199,9043.549805,11694.7002,2124.939941,889.544983,1610.300049,168.738007,100.722,87.7575,119.188004,988,9044,56470,11693,2125.620117,173,1611,892.036987,-156.048004,1016.049988
NLA12_NE-127,SDMNTRY,0,0,118014,128612,120172,117679,0,0,0,0,0.260969,0,0,29.382699,27,0.450419,7718.589844,44770.89844,0,0,1.23804,68.263496,SDMNTRY,40602.60156,608.314026,7155.080078,7669.959961,2028.75,852.763001,1606.949951,98.575401,78.195602,71.401901,95.072098,658,7299,41966,8055,2044.319946,96,1642,869.177002,-286.964996,939.184998
NLA12_NE-129,SDMNTRY,0,0,35920,38893,36185.89844,35904,0,0,0,0,34.977199,0,0,11.439999,0,61.1809,20127.09961,73441.79688,0,0,2.10374,39.571399,SDMNTRY,77429.39844,1791.829956,11861.5,24379.30078,2247.909912,1026.699951,1629.699951,423.739014,79.679199,75.380997,95.233002,1792,11861,77437,24371,2246.25,423,1630,1026.599976,-144.606995,1182.699951
NLA12_NE-131,SDMNTRY,0,0,92700,93006,92768.10156,92692,0,0,0,0,4.08935,0,0,32,32,8.48215,12928.2002,60073.30078,0,0,2.14516,43,SDMNTRY,49696.19922,883.599976,8290.549805,7652.200195,2149.889893,970.84198,1736.459961,205.123001,70.707398,59.676899,89.813004,883,8292,49700,7652,2149.899902,202,1734,968.046997,-150.832993,1069.829956
