SITE_ID,BASINAreaSqKM,OPEN_11_km2,ICE_11_km2,DEVOPEN_11_km2,DEVLOW_11_km2,DEVMED_11_km2,DEVHIGH_11_km2,BARREN_11_km2,DECID_11_km2,CONIF_11_km2,MIXED_11_km2,SHRUBLAND_11_km2,GRASS_11_km2,PASTURE_11_km2,CROPS_11_km2,WDYWET_11_km2,EMHERBWET_11_km2
NLA12_ID-177,0.2853,0.0108,0,0,0,0,0,0,0,0.2529,0,0.0063,0.0153,0,0,0,0
NLA12_KY-104,0.2853,0.0054,0,0,0,0,0,0,0.009,0,0,0,0,0,0.018,0.2214,0.0315
NLA12_WA-139,0.2853,0.0252,0,0,0,0,0,0,0,0.2484,0,0,0.0117,0,0,0,0
NLA12_OH-117,0.2871,0.0657,0,0.0576,0.0531,0.0018,0,0,0.0657,0,0,0,0.0432,0,0,0,0
NLA12_IA-103,0.2871,0.0945,0,0.0135,0,0,0,0,0.0162,0,0,0,0,0,0.0045,0.1584,0
NLA12_UT-368,0.2889,0.0234,0,0.009,0,0,0,0,0,0.2043,0,0,0.0333,0,0,0.0189,0
NLA12_ME-134,0.2898,0.0126,0,0.0288,0.0072,0,0,0,0.0954,0.0018,0.0369,0.0144,0,0.0369,0.0477,0.0081,0
NLA12_CO-127,0.2898,0.2547,0,0,0,0,0,0,0,0,0,0,0,0.0243,0.0027,0.0018,0.0063
NLA12_AZ-157,0.2934,0.0657,0,0,0,0,0,0,0,0.1287,0,0.063,0.036,0,0,0,0
NLA12_UT-295,0.297,0.0189,0,0.0117,0.0054,0,0,0,0,0,0,0,0,0.0549,0.135,0,0.0711
NLA12_MI-165,0.2979,0.1116,0,0.0288,0,0,0,0,0.0918,0.0126,0.0378,0,0,0,0,0.0126,0.0027
NLA12_MI-173,0.3033,0.0279,0,0.0108,9e-4,0,0,0,0.2088,0,0,0,0,0,0.0135,0.0171,0.0243
NLA12_AZ-118,0.3042,0.0711,0,0.0054,0.072,0.1341,0.0126,0,0,0,0,0.009,0,0,0,0,0
NLA12_IL-R03,0.3069,0.0477,0,0.0063,0,0,0,0,0.2079,0.045,0,0,0,0,0,0,0
NLA12_UT-322,0.3096,0.1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1593
NLA12_ME-113,0.3105,0.0351,0,0,0,0,0,0,0.0045,0.0297,0.0972,0.0072,0,0,0,0.1368,0
NLA12_MN-144,0.3141,0.0288,0,0.0081,0.0027,0,0,0,9e-4,0,0,0,0.0153,0.0702,9e-4,0.1611,0.0261
NLA12_ME-130,0.3159,0.0576,0,0,0,0,0,0,0.0792,0.0558,0.1035,0,0,0,0,0.0198,0
NLA12_UT-201,0.315,0.0072,0,0.0549,0.1107,0.1161,0.0099,0,0,0,0,0,0,0,0,0.0153,9e-4
NLA12_ND-140,0.3159,0.0522,0,0,0,0,0,0,0.0072,0,0,0,0.2349,0,0,0,0.0216
NLA12_OH-R03,0.3168,0.1098,0,0,0,0,0,0,0.1827,0,0,0,0,0.0108,0,0.0135,0
NLA12_IN-124,0.3168,0.0126,0,0.0441,0.0108,0.0027,0,0,0.0639,0,0,0,0,0,0.1827,0,0
NLA12_LA-155,0.3168,0.0666,0,0.0081,0.1062,0.0396,0.0108,0,0,0.0396,0.0108,0,0,0.0351,0,0,0
NLA12_UT-221,0.3168,0.0081,0,0,0,0,0,0.0567,0,0.0981,0,0.0684,0.0792,0,0,0.0063,0
NLA12_NY-0110,0.3177,0.0468,0,0,0,0,0,0,0.0162,0.2484,0.0063,0,0,0,0,0,0
NLA12_MI-151,0.3195,0.1377,0,0.0414,0.0855,0.0315,0,0,0.0144,0,0,0,0,0,0,0.009,0
NLA12_WI-115,0.3258,0.0558,0,0.0144,0.0891,0.0639,0.0378,0,0.0351,0,0.0135,0,0,0,0,0.0162,0
NLA12_OK-298,0.3267,0.036,0,0.0189,0.0018,0,0,0,0.0153,0,0,0,0,0.2547,0,0,0
NLA12_IN-129,0.3312,0.0513,0,0.0378,0.0225,0.0135,0,0,0.1152,0,0,0,0.0405,0.0234,9e-4,0.0261,0
NLA12_VA-114,0.3303,0.0081,0,0.0585,0.0081,0,0,0,0.1368,0.0306,0,0,0,0.0882,0,0,0
NLA12_MO-118,0.333,0.0243,0,0.0072,9e-4,0,0,0,0,0,0,0,0,0.2952,0,0.0054,0
NLA12_MI-159,0.3357,0,0,0.0549,0.0414,0.0018,0,0,0.1674,0,0.0027,0,0.0081,0,0.0153,0.0441,0
NLA12_UT-381,0.3357,0.0135,0,0.0225,0.0018,0,0,0,0,0.1926,0,0.0936,0,0,0,0.0117,0
NLA12_UT-342,0.3384,0.0072,0,0.0027,0,0,0,0,0,0.0153,0,0.3132,0,0,0,0,0
NLA12_WI-154,0.3384,0.018,0,0,0,0,0,0,0.1638,0,0.0756,0.0531,0,0,0,0.0279,0
NLA12_NV-169,0.3384,0.0549,0,0.0207,9e-4,0,0,0,0,0,0,0.1233,0.1098,0.0198,0.0036,0,0.0054
NLA12_ID-198,0.342,0.0342,0,0,0,0,0,0,0,0.0189,0,0.2412,0,0,0,0.0081,0.0396
NLA12_SD-205,0.342,0.0423,0,0.0045,0,0,0,0,0,0,0,0.0054,0.1908,0.099,0,0,0
NLA12_NJ-R01,0.3429,0.0477,0,0,0,0,0,0,0.2349,0,0.0153,0,0,0,0,0.045,0
NLA12_UT-393,0.3438,0.0108,0,0,0,0,0,0.027,0,0.1089,0,0.1305,0.0666,0,0,0,0
NLA12_VA-124,0.3456,0.0342,0,0.0153,9e-4,0,0,0,0.1413,0.0945,0.0126,0,0,0.0468,0,0,0
NLA12_UT-317,0.351,0,0,0.036,0.0225,0.0027,0,0.0135,0,0,0,0.0144,0.0918,0.0837,0,0.0189,0.0675
NLA12_ID-220,0.3564,0,0.0198,0,0,0,0,0,0,0.1404,0,0.0252,0.171,0,0,0,0
NLA12_ID-133,0.3609,0.0378,0,0,0,0,0,0,0,0.2619,0,0.0054,0.0558,0,0,0,0
NLA12_NV-124,0.3663,0.1242,0,0,0,0,0,0,0,0,0,0.0243,0,0,0,0.0648,0.153
NLA12_TX-160,0.3645,0.2952,0,0.009,0.0162,0.0189,0.0036,0,0.0072,0,0,0,0,0,0,0.0108,0.0036
NLA12_MI-176,0.3645,0.0153,0,0,0,0,0,0,0.1665,0.0225,0.072,0,0,0.0207,0,0.0585,0.009
