"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"30","L_EI","~","HydrAP","k",0.000823975684137058,0.0656487223448901,0.012551282868968,0.989985788112252,-0.127845155742917,0.129493107111192
"31","L_EI","~","hydrap_phdiinv","gamma",-0.0114649750575658,0.0658553087424913,-0.174093406841297,0.861792054657239,-0.140539008383614,0.117609058268483
"32","L_HorizDD_use","~~","L_HorizDD_use","",0.426638546870342,0.0500268560121479,8.52819027377501,0,0.328587710826761,0.524689382913923
"33","L_VertDD_use","~~","L_VertDD_use","",0.792525443260522,0.0357979791946848,22.1388318863037,0,0.722362693319626,0.862688193201419
"34","L_EI","~~","L_EI","",0.5822342207935,0.0379357297298891,15.3479114528477,0,0.507881556795672,0.656586884791328
"35","L_DpthMx_mod","~~","L_DpthMx_mod","",1,0,NA,NA,1,1
"36","L_DpthMx_mod","~~","L_LkAreakm2","",0.338542255511433,0,NA,NA,0.338542255511433,0.338542255511433
"37","L_DpthMx_mod","~~","L_SLD","",0.189275630049255,0,NA,NA,0.189275630049255,0.189275630049255
"38","L_DpthMx_mod","~~","bffFlat_grad","",-0.159821417725907,0,NA,NA,-0.159821417725907,-0.159821417725907
"39","L_DpthMx_mod","~~","Temp_degC_avg_yr","",0.11541006914606,0,NA,NA,0.11541006914606,0.11541006914606
"40","L_DpthMx_mod","~~","Precip_mm_total_yr_sc","",0.264094866425001,0,NA,NA,0.264094866425001,0.264094866425001
"41","L_DpthMx_mod","~~","PHDI_inv","",-0.0394301689401052,0,NA,NA,-0.0394301689401052,-0.0394301689401052
"42","L_DpthMx_mod","~~","HydrAP","",-0.0793896108527383,0,NA,NA,-0.0793896108527383,-0.0793896108527383
"43","L_DpthMx_mod","~~","hydrap_phdiinv","",-0.0772500804629163,0,NA,NA,-0.0772500804629163,-0.0772500804629163
"44","L_DpthMx_mod","~~","L_inflow","",0.200692731718928,0,NA,NA,0.200692731718928,0.200692731718928
"45","L_DpthMx_mod","~~","BFIWs","",0.200158821223039,0,NA,NA,0.200158821223039,0.200158821223039
"46","L_LkAreakm2","~~","L_LkAreakm2","",1,0,NA,NA,1,1
"47","L_LkAreakm2","~~","L_SLD","",0.577203919547726,0,NA,NA,0.577203919547726,0.577203919547726
"48","L_LkAreakm2","~~","bffFlat_grad","",-0.2337045431346,0,NA,NA,-0.2337045431346,-0.2337045431346
"49","L_LkAreakm2","~~","Temp_degC_avg_yr","",0.0803292320420685,0,NA,NA,0.0803292320420685,0.0803292320420685
"50","L_LkAreakm2","~~","Precip_mm_total_yr_sc","",0.0287891509382147,0,NA,NA,0.0287891509382147,0.0287891509382147
"51","L_LkAreakm2","~~","PHDI_inv","",-0.136121138399301,0,NA,NA,-0.136121138399301,-0.136121138399301
"52","L_LkAreakm2","~~","HydrAP","",0.170225084416159,0,NA,NA,0.170225084416159,0.170225084416159
"53","L_LkAreakm2","~~","hydrap_phdiinv","",-0.147109468872001,0,NA,NA,-0.147109468872001,-0.147109468872001
"54","L_LkAreakm2","~~","L_inflow","",0.100903238793117,0,NA,NA,0.100903238793117,0.100903238793117
"55","L_LkAreakm2","~~","BFIWs","",-0.0474165160625711,0,NA,NA,-0.0474165160625711,-0.0474165160625711
"56","L_SLD","~~","L_SLD","",1,0,NA,NA,1,1
"57","L_SLD","~~","bffFlat_grad","",-0.29322238486091,0,NA,NA,-0.29322238486091,-0.29322238486091
"58","L_SLD","~~","Temp_degC_avg_yr","",0.339145403557391,0,NA,NA,0.339145403557391,0.339145403557391
"59","L_SLD","~~","Precip_mm_total_yr_sc","",0.214757615977869,0,NA,NA,0.214757615977869,0.214757615977869
"60","L_SLD","~~","PHDI_inv","",-0.103364422862471,0,NA,NA,-0.103364422862471,-0.103364422862471
"61","L_SLD","~~","HydrAP","",0.413502943826821,0,NA,NA,0.413502943826821,0.413502943826821
"62","L_SLD","~~","hydrap_phdiinv","",-0.116297755461958,0,NA,NA,-0.116297755461958,-0.116297755461958
"63","L_SLD","~~","L_inflow","",0.304472013126835,0,NA,NA,0.304472013126835,0.304472013126835
"64","L_SLD","~~","BFIWs","",-0.296339670505246,0,NA,NA,-0.296339670505246,-0.296339670505246
"65","bffFlat_grad","~~","bffFlat_grad","",1,0,NA,NA,1,1
