SITE_ID,VISIT_NO,UID,nlaSITE_ID,COMID,VolumeCorrect,FetchN,FetchNE,FetchE,FetchSE,MaxDepthCorrect,MeanDepthCorrect
NLA12_ME-126,2,8253,NA,2675624,211306.6161,356.4403396,662.7564132,362.7201483,672.5218385,4.062831931,1.914399911
NLA12_ME-129,1,8013,NA,5009,402547.9014,991.5424364,201.7203853,192.4349626,201.8203355,5.762431516,2.609891936
NLA12_ME-130,1,7706,NA,6711265,180473.3639,248.9150716,345.3199979,428.5303825,351.0617635,4.511399194,2.307104311
NLA12_ME-134,1,7420,NA,5201926,27618.32087,179.7028407,116.5587117,140.8056667,116.7404117,3.004565107,1.330455027
NLA12_ME-135,1,8363,NA,747,7543010.423,1517.721546,2201.429656,1373.729663,2199.971096,13.65940566,4.642759623
NLA12_ME-137,1,8489,NA,9312215,500445.3946,529.776285,505.2532941,425.545837,500.6859112,5.327522757,2.036552135
NLA12_ME-R02,1,7390,NLA06608-ACAD_LAKES_0435,2682384,325348.9076,250.997094,409.3860874,181.8184748,409.2372548,8.932067851,4.403576925
NLA12_ME-R03,1,7474,NLA06608-ELS:1C3-003,1021510,353395.1598,605.6855928,426.7353802,333.6634669,427.9725157,4.901751566,2.157774481
NLA12_ME-R06,1,7430,NLA06608-ELS:1E3-012,724984,696594.0643,419.450321,421.0057293,376.1350725,419.5098311,13.84355384,5.774144938
NLA12_ME-R07,1,7941,NLA06608-EMAP:ME254L,808011,1150474.97,652.769702,562.4778737,805.6081041,562.2944611,7.573524574,2.950445956
NLA12_ME-R08,1,7389,NLA06608-EMAP:ME518L,5195160,53070912.48,2364.963347,3149.284153,3024.032214,3148.987334,23.67339443,8.484476947
NLA12_ME-R10,1,7431,NLA06608-NELP-0955,724966,10819508.57,730.449656,657.7470066,1553.35669,657.7566737,28.28257795,10.50601138
NLA12_ME-R11,1,7297,NLA06608-NELP-1041,2684588,2867056.524,1744.125746,1597.675697,1317.446709,1597.675053,5.711558431,1.983266506
NLA12_ME-R15,1,7429,NLA06608-NELP-3586,1701184,8989873.404,1170.153502,757.9459174,827.4021072,757.4043939,24.73856242,10.28293394
NLA12_MI-101,1,7103,NLA06608-0234,9002369,380357.3496,697.8695496,516.8291855,407.4418687,517.089952,4.324987721,1.847259086
NLA12_MI-101,2,1000164,NLA06608-0234,9002369,380357.3496,697.8695496,516.8291855,407.4418687,517.089952,4.324987721,1.847259086
