SITE_ID,phdi_nla12_WY_AVG
NLA12_SC-118,-4.146153846
NLA12_SC-121,-3.304615385
NLA12_AL-R03,-3.183846154
NLA12_MN-R14,-2.573076923
NLA12_MN-170,-2.573076923
NLA12_MI-R08,-2.766923077
NLA12_WI-R11,-2.060769231
NLA12_WI-R08,-2.060769231
NLA12_MI-R09,-2.766923077
NLA12_MI-129,1.096923077
NLA12_OH-R03,2.865384615
NLA12_AL-103,-2.048461538
NLA12_AL-104,-2.073846154
NLA12_GA-126,-1.925384615
NLA12_AL-102,-0.176153846
NLA12_AL-105,-2.710769231
NLA12_AL-107,-2.073846154
NLA12_AL-112,-1.44
NLA12_AL-113,-1.616153846
NLA12_AL-114,-2.048461538
NLA12_AL-R05,-1.44
NLA12_GA-104,-1.925384615
NLA12_GA-104,-2.768461538
NLA12_GA-118,-2.768461538
NLA12_MS-103,-1.106923077
NLA12_MS-112,-0.665384615
NLA12_MS-120,-0.665384615
NLA12_MS-121,-0.196923077
NLA12_MS-125,-0.196923077
NLA12_MS-128,-0.655384615
NLA12_IN-101,-0.15
NLA12_IN-103,-0.15
NLA12_IN-109,-0.15
NLA12_IN-113,-0.15
NLA12_IN-114,-0.15
NLA12_IN-120,-0.15
NLA12_IN-129,-0.429230769
NLA12_IN-133,-0.15
NLA12_IN-134,-0.429230769
NLA12_IN-145,-0.519230769
NLA12_IN-145,-0.15
NLA12_IN-149,-0.15
NLA12_IN-161,-0.519230769
NLA12_IN-172,-0.519230769
NLA12_IN-177,-0.15
NLA12_IN-181,-0.15
NLA12_IN-185,-0.15
NLA12_IN-186,-0.15
NLA12_IN-187,-0.15
NLA12_IN-196,-0.519230769
NLA12_IN-197,-0.15
NLA12_IN-199,-0.15
NLA12_MI-148,-2.766923077
NLA12_MI-149,-0.041538462
NLA12_MI-150,-1.473076923
NLA12_MI-151,0.892307692
NLA12_MI-152,0.111538462
NLA12_MI-154,0.162307692
NLA12_MI-155,0.892307692
NLA12_MI-157,0.361538462
NLA12_MI-159,1.260769231
NLA12_MI-161,-0.041538462
NLA12_MI-101,0.111538462
NLA12_MI-102,0.361538462
NLA12_MI-103,0.162307692
NLA12_MI-104,0.111538462
NLA12_MI-105,0.361538462
NLA12_MI-106,-0.041538462
NLA12_MI-107,-0.041538462
NLA12_MI-108,0.111538462
NLA12_MI-109,0.892307692
NLA12_MI-110,1.260769231
NLA12_MI-111,1.260769231
NLA12_MI-112,0.892307692
NLA12_MI-113,1.096923077
NLA12_MI-114,1.260769231
NLA12_MI-115,0.111538462
NLA12_MI-116,-2.766923077
NLA12_MI-117,1.260769231
NLA12_MI-118,-2.766923077
NLA12_MI-120,0.111538462
NLA12_MI-122,0.162307692
NLA12_MI-123,0.892307692
NLA12_MI-124,0.361538462
NLA12_MI-125,-2.766923077
NLA12_MI-126,0.162307692
NLA12_MI-128,0.111538462
NLA12_MI-130,-0.041538462
NLA12_MI-131,1.260769231
NLA12_MI-132,-2.766923077
NLA12_MI-133,-0.041538462
NLA12_MI-135,1.260769231
NLA12_MI-136,1.096923077
NLA12_MI-137,-2.766923077
NLA12_MI-138,-1.473076923
NLA12_MI-139,0.892307692
NLA12_MI-141,-2.766923077
NLA12_MI-142,1.096923077
NLA12_MI-144,0.111538462
NLA12_MI-145,1.096923077
