SITE_ID,Precip_PT,E,RH_PT,TMEAN_PT,P_WY
NLA12_ND-103,35.79,53.53475815,2.212685201,7.404230705,391.6426808
NLA12_ND-104,31.94,53.85313299,2.215976607,7.548461639,350.561781
NLA12_ND-105,28.57,52.51851115,2.150638266,6.715769227,296.5041788
NLA12_ND-106,28.28,52.90541994,2.146384161,6.960384515,306.1447273
NLA12_ND-107,28.19,54.7922287,2.291014422,7.992307534,349.5361472
NLA12_ND-108,28.91,53.47070296,2.248055638,7.562307669,357.5372651
NLA12_ND-109,34.77,53.39674919,2.230110604,7.434615575,400.7333595
NLA12_ND-110,33.24,53.45351011,2.207237861,7.345384597,371.6001044
NLA12_ND-112,34.53,53.32796845,2.236204206,7.510769184,417.8185574
NLA12_ND-113,30.86,47.4770077,2.005657827,5.15769223,323.2345517
NLA12_ND-114,35.55,54.03325693,2.260988311,7.762307754,414.0115216
NLA12_ND-115,31.83,54.90758432,2.255230165,8.064230717,378.2082224
NLA12_ND-118,26.99,53.62388456,2.251803029,7.623846182,321.2584581
NLA12_ND-119,32.01,54.35240843,2.250540381,7.713846188,351.2771177
NLA12_ND-126,31.18,49.811541,2.070067825,6.171153913,367.7043046
NLA12_ND-129,31.62,55.65754267,2.294066751,8.18269218,385.0645983
NLA12_ND-131,26.84,54.05929422,2.22810793,7.893846256,321.421615
NLA12_ND-134,28.08,54.90157501,2.281673844,7.853845908,350.9301018
NLA12_ND-139,33.29,53.90140921,2.208556643,7.469999936,363.2661028
NLA12_ND-145,30.68,53.24140164,2.209400035,7.354230752,347.5064645
NLA12_ND-146,32.53,47.69354282,2.017106912,5.139230986,349.6134921
NLA12_ND-149,30.19,53.03294463,2.207493859,7.290384825,337.6046623
NLA12_ND-151,32.63,54.88962118,2.269433155,7.950000047,372.9636866
NLA12_ND-155,30.62,50.23720694,2.105616362,6.348461592,344.9567185
NLA12_ND-156,34.20,52.54371332,2.175017422,7.095384542,378.334487
NLA12_ND-160,30.88,52.92193171,2.201080456,7.230384606,355.8503993
