"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"620","NLA12_NM-160",2012,"PROB","CORE","NLA_NM-10082","SPL_>50",1.865232337,0
"621","NLA12_NM-161",2012,"PROB","CORE","NLA_NM-10083","WMT_(1,4]",25.76493606,0
"622","NLA12_NM-162",2012,"PROB","CORE","NLA_NM-10084","WMT_(10,20]",1.382804768,0
"623","NLA12_NV-103",2012,"PROB","CORE","NLA_NV-10007","XER_>50",2.454602141,0
"624","NLA12_NV-106",2012,"PROB","CORE","NLA_NV-10013","XER_>50",2.702811251,0
"625","NLA12_NV-105",2012,"PROB","CORE","NLA_NV-10019","XER_>50",2.702811251,0
"626","NLA12_NV-104",2012,"PROB","CORE","NLA_NV-10036","XER_>50",3.191777615,0
"627","NLA12_NV-101",2012,"PROB","CORE","NLA_NV-10043","XER_>50",2.702811251,0
"628","NLA12_NV-109",2012,"PROB","CORE","NLA_NV-10054","XER_>50",1.217383417,0
"629","NLA12_NV-102",2012,"PROB","CORE","NLA_NV-10064","XER_(20,50]",8.062955279,0
"630","NLA12_NV-119",2012,"PROB","CORE","NLA_NV-10090","XER_(10,20]",0.897883561,0
"631","NLA12_NV-127",2012,"PROB","CORE","NLA_NV-10097","XER_(20,50]",1.476123441,0
"632","NLA12_NV-137",2012,"PROB","CORE","NLA_NV-10105","XER_(20,50]",1.476123441,0
"633","NLA12_NV-141",2012,"PROB","CORE","NLA_NV-10109","XER_(4,10]",2.73141605,0
"634","NLA12_NV-144",2012,"PROB","CORE","NLA_NV-10112","XER_(4,10]",2.73141605,0
"635","NLA12_NV-167",2012,"PROB","CORE","NLA_NV-10134","XER_(4,10]",2.73141605,0
"636","NLA12_NV-177",2012,"PROB","CORE","NLA_NV-10144","XER_(20,50]",1.476123441,0
"637","NLA12_NV-193",2012,"PROB","CORE","NLA_NV-10159","WMT_(20,50]",2.775494579,0
"638","NLA12_NY-0102",2012,"PROB","CORE","NLA_NY-10004","NAP_>50",190.2996723,0
"639","NLA12_NY-0101",2012,"PROB","CORE","NLA_NY-10014","NAP_>50",190.2996723,0
"640","NLA12_NY-0104",2012,"PROB","CORE","NLA_NY-10026","NAP_(10,20]",12.27604216,0
"641","NLA12_NY-0106",2012,"PROB","CORE","NLA_NY-10028","NAP_(10,20]",11.25303865,0
"642","NLA12_NY-0108",2012,"PROB","CORE","NLA_NY-10030","NAP_(4,10]",638.9036978,0
"643","NLA12_NY-0109",2012,"PROB","CORE","NLA_NY-10031","NAP_(10,20]",11.25303865,0
"644","NLA12_NY-0110",2012,"PROB","CORE","NLA_NY-10032","NAP_(1,4]",219.7003309,0
"645","NLA12_NY-0111",2012,"PROB","CORE","NLA_NY-10033","NAP_(4,10]",154.1340833,0
"646","NLA12_NY-0112",2012,"PROB","CORE","NLA_NY-10034","NAP_(4,10]",35.3672005,0
"647","NLA12_OH-106",2012,"PROB","CORE","NLA_OH-10003","SAP_(20,50]",22.54320231,0
"648","NLA12_OH-105",2012,"PROB","CORE","NLA_OH-10009","TPL_>50",8.145718041,0
"649","NLA12_OH-104",2012,"PROB","CORE","NLA_OH-10011","TPL_>50",8.145718041,0
"650","NLA12_OH-103",2012,"PROB","CORE","NLA_OH-10014","SAP_(20,50]",22.54320231,0
"651","NLA12_OH-107",2012,"PROB","CORE","NLA_OH-10016","NAP_>50",21.22887925,0
"652","NLA12_OH-102",2012,"PROB","CORE","NLA_OH-10017","TPL_>50",8.145718041,0
"653","NLA12_OH-101",2012,"PROB","CORE","NLA_OH-10031","TPL_>50",8.145718041,0
"654","NLA12_OH-112",2012,"PROB","CORE","NLA_OH-10039","TPL_(20,50]",5.099513156,0
"655","NLA12_OH-113",2012,"PROB","CORE","NLA_OH-10040","SAP_(4,10]",92.71138475,0
"656","NLA12_OH-115",2012,"PROB","CORE","NLA_OH-10042","SAP_(20,50]",19.58518014,0
"657","NLA12_OH-118",2012,"PROB","CORE","NLA_OH-10045","TPL_>50",5.941866299,0
"658","NLA12_OH-122",2012,"PROB","CORE","NLA_OH-10049","TPL_(4,10]",35.35734233,0
"659","NLA12_OH-127",2012,"PROB","CORE","NLA_OH-10054","SAP_>50",18.50760303,0
"660","NLA12_OH-134",2012,"PROB","CORE","NLA_OH-10061","TPL_(10,20]",40.17891925,0
"661","NLA12_OH-136",2012,"PROB","CORE","NLA_OH-10063","NAP_(20,50]",26.63008832,0
"662","NLA12_OH-137",2012,"PROB","CORE","NLA_OH-10064","NAP_(20,50]",26.63008832,0
"663","NLA12_OK-121",2012,"PROB","CORE","NLA_OK-10001","SPL_>50",5.514466422,0
"664","NLA12_OK-103",2012,"PROB","CORE","NLA_OK-10003","SPL_>50",3.437720845,0
"665","NLA12_OK-108",2012,"PROB","CORE","NLA_OK-10008","SPL_>50",6.072088684,0
"666","NLA12_OK-107",2012,"PROB","CORE","NLA_OK-10011","SAP_>50",6.786131536,0
"667","NLA12_OK-104",2012,"PROB","CORE","NLA_OK-10012","SPL_>50",14.93410504,0
"668","NLA12_OK-109",2012,"PROB","CORE","NLA_OK-10029","TPL_>50",30.04974476,0
"669","NLA12_OK-119",2012,"PROB","CORE","NLA_OK-10030","SPL_>50",6.072088684,0
"670","NLA12_OK-117",2012,"PROB","CORE","NLA_OK-10034","SPL_(20,50]",27.54376829,0
"671","NLA12_OK-133",2012,"PROB","CORE","NLA_OK-10043","SPL_(4,10]",317.0758528,0
"672","NLA12_OK-102",2012,"PROB","CORE","NLA_OK-10045","SPL_>50",3.437720845,0
"673","NLA12_OK-122",2012,"PROB","CORE","NLA_OK-10050","SPL_>50",5.514466422,0
"674","NLA12_OK-118",2012,"PROB","CORE","NLA_OK-10053","SPL_>50",6.072088684,0
"675","NLA12_OK-101",2012,"PROB","CORE","NLA_OK-10060","SPL_>50",6.072088684,0
"676","NLA12_OK-106",2012,"PROB","CORE","NLA_OK-10077","SPL_>50",6.072088684,0
"677","NLA12_OK-132",2012,"PROB","CORE","NLA_OK-10086","SPL_(10,20]",23.98876892,0
"678","NLA12_OK-105",2012,"PROB","CORE","NLA_OK-10090","SPL_>50",6.072088684,0
"679","NLA12_OK-120",2012,"PROB","CORE","NLA_OK-10091","SPL_>50",6.072088684,0
"680","NLA12_OK-134",2012,"PROB","CORE","NLA_OK-10100","SPL_>50",0.203479891,0
"681","NLA12_OK-135",2012,"PROB","CORE","NLA_OK-10101","SPL_>50",0.203479891,0
"682","NLA12_OK-285",2012,"PROB","CORE","NLA_OK-10103","SPL_(4,10]",43.8771664,0
"683","NLA12_OK-286",2012,"PROB","CORE","NLA_OK-10104","SPL_(1,4]",168.894688,0
"684","NLA12_OK-288",2012,"PROB","CORE","NLA_OK-10106","CPL_(4,10]",67.64831327,0
"685","NLA12_OK-291",2012,"PROB","CORE","NLA_OK-10109","SAP_>50",36.21052767,0
"686","NLA12_OK-292",2012,"PROB","CORE","NLA_OK-10110","SPL_(20,50]",32.71437797,0
"687","NLA12_OK-293",2012,"PROB","CORE","NLA_OK-10111","SPL_(10,20]",43.40640445,0
"688","NLA12_OK-296",2012,"PROB","CORE","NLA_OK-10114","SPL_(1,4]",168.894688,0
"689","NLA12_OK-299",2012,"PROB","CORE","NLA_OK-10117","SAP_(4,10]",157.9627993,0
"690","NLA12_OK-302",2012,"PROB","CORE","NLA_OK-10120","SPL_(10,20]",43.40640445,0
"691","NLA12_OK-306",2012,"PROB","CORE","NLA_OK-10124","SPL_(4,10]",43.8771664,0
"692","NLA12_OK-311",2012,"PROB","CORE","NLA_OK-10129","SAP_(10,20]",227.0387593,0
"693","NLA12_OR-102",2012,"PROB","CORE","NLA_OR-10011","XER_>50",20.2876233,0
"694","NLA12_OR-131",2012,"PROB","CORE","NLA_OR-10019","WMT_(20,50]",10.44114627,0
"695","NLA12_OR-110",2012,"PROB","CORE","NLA_OR-10020","WMT_>50",20.22033124,0
"696","NLA12_OR-101",2012,"PROB","CORE","NLA_OR-10024","XER_>50",18.42453614,0
"697","NLA12_OR-106",2012,"PROB","CORE","NLA_OR-10031","WMT_>50",20.22033124,0
"698","NLA12_OR-105",2012,"PROB","CORE","NLA_OR-10032","WMT_>50",22.26500901,0
"699","NLA12_OR-112",2012,"PROB","CORE","NLA_OR-10033","WMT_>50",22.26500901,0
"700","NLA12_OR-109",2012,"PROB","CORE","NLA_OR-10034","WMT_>50",8.849863885,0
"701","NLA12_OR-104",2012,"PROB","CORE","NLA_OR-10039","WMT_>50",22.26500901,0
"702","NLA12_OR-111",2012,"PROB","CORE","NLA_OR-10044","XER_>50",20.2876233,0
"703","NLA12_OR-103",2012,"PROB","CORE","NLA_OR-10053","WMT_>50",54.76006703,0
"704","NLA12_OR-113",2012,"PROB","CORE","NLA_OR-10057","WMT_>50",22.26500901,0
"705","NLA12_OR-107",2012,"PROB","CORE","NLA_OR-10062","WMT_(10,20]",118.4896309,0
"706","NLA12_OR-121",2012,"PROB","CORE","NLA_OR-10077","WMT_(4,10]",17.92912664,0
"707","NLA12_OR-123",2012,"PROB","CORE","NLA_OR-10079","WMT_(4,10]",17.92912664,0
"708","NLA12_OR-126",2012,"PROB","CORE","NLA_OR-10082","WMT_(10,20]",6.815252071,0
"709","NLA12_OR-128",2012,"PROB","CORE","NLA_OR-10083","WMT_>50",10.05489776,0
