ecoregion,response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
WEST,L_HorizDD_use,L_EI,total,0.064772105,0.039281018,1.648941637,0.099159592,-0.012217274,0.141761485
WEST,L_HorizDD_use,L_inflow,total,0.020353425,0.043435889,0.468585443,0.639365985,-0.064779353,0.105486204
WEST,L_HorizDD_use,BFIWs,total,0.143676787,0.046777276,3.071508196,0.002129803,0.05199501,0.235358563
WEST,L_HorizDD_use,Temp_degC_avg_yr,total,-0.088732382,0.059436051,-1.492905064,0.135462039,-0.205224902,0.027760138
WEST,L_HorizDD_use,Precip_mm_total_yr_sc,total,-0.038637938,0.049050091,-0.787724089,0.430858112,-0.13477435,0.057498474
WEST,L_HorizDD_use,PHDI,total,0.145327216,0.063059915,2.304589453,0.021189577,0.021732053,0.268922379
WEST,L_HorizDD_use,HydrAP,total,0.481081988,0.062720716,7.670224688,1.70974E-14,0.358151642,0.604012333
WEST,L_HorizDD_use,HydrAP_PHDI,total,-0.103362614,0.087774144,-1.177597511,0.238957103,-0.275396775,0.068671548
WEST,L_VertDD_use,L_LkAreakm2,total,0.16124257,0.073831031,2.183940386,0.028966629,0.016536409,0.305948731
WEST,L_VertDD_use,L_DpthMx_mod,total,0.017881396,0.051277251,0.348719868,0.727299627,-0.082620169,0.118382961
WEST,L_VertDD_use,L_SLD,total,0.18940717,0.062842455,3.014000183,0.002578277,0.066238222,0.312576118
WEST,L_VertDD_use,bffFlat_grad,total,0.012065943,0.008221421,1.467622607,0.142206764,-0.004047746,0.028179632
WEST,L_VertDD_use,L_EI,total,0.081487055,0.049678187,1.640298478,0.100943122,-0.015880403,0.178854512
WEST,L_VertDD_use,L_inflow,total,0.025605786,0.054667212,0.468393854,0.639502962,-0.081539981,0.132751553
WEST,L_VertDD_use,BFIWs,total,0.180753707,0.057619087,3.137045644,0.001706596,0.067822371,0.293685043
WEST,L_VertDD_use,Temp_degC_avg_yr,total,-0.006150277,0.062010464,-0.099181271,0.920994345,-0.127688552,0.115387999
WEST,L_VertDD_use,Precip_mm_total_yr_sc,total,-0.01979697,0.054678774,-0.362059513,0.717307558,-0.126965397,0.087371457
WEST,L_VertDD_use,PHDI,total,0.143715941,0.072139734,1.992188409,4.64E-02,0.002324661,0.285107221
WEST,L_VertDD_use,HydrAP,total,0.380128022,0.06349885,5.986376445,2.14567E-09,0.255672562,0.504583482
WEST,L_VertDD_use,HydrAP_PHDI,total,0.00571741,0.086804754,0.065865166,0.947485174,-0.164416782,0.175851601
WEST,L_EI,L_LkAreakm2,total,0.042186172,0.057694137,0.731203797,4.65E-01,-0.070892258,0.155264602
WEST,L_EI,L_DpthMx_mod,total,-0.27982108,0.061928672,-4.518441496,6.22965E-06,-0.401199046,-0.158443114
WEST,L_EI,bffFlat_grad,total,0.148071903,0.048182641,3.073137944,2.12E-03,0.053635662,0.242508145
WEST,L_EI,L_inflow,total,-0.267905313,0.050501053,-5.304945081,1.12707E-07,-0.366885558,-0.168925068
WEST,L_EI,BFIWs,total,-0.092830241,0.060934651,-1.523439273,0.127648843,-0.212259963,0.026599481
WEST,L_EI,Temp_degC_avg_yr,total,0.146281755,0.05437082,2.690446002,0.007135658,0.039716906,0.252846603
WEST,L_EI,Precip_mm_total_yr_sc,total,-0.161920461,0.066582066,-2.43189303,0.015020143,-0.292418912,-0.031422011
WEST,L_EI,PHDI,total,-0.069701012,0.107258462,-0.649841614,0.515794536,-0.279923734,0.14052171
WEST,L_EI,HydrAP,total,-0.187017474,0.063948678,-2.924493213,0.003450176,-0.312354579,-0.061680369
WEST,L_EI,HydrAP_PHDI,total,0.092136869,0.102701455,0.897133043,0.369647929,-0.109154284,0.293428022
