SITE_ID,phdi_nla07_WY_AVG
NLA06608-0108,-3.31
NLA06608-0060,-3.31
NLA06608-0355,-3.31
NLA06608-0179,-0.696153846
NLA06608-0179,-0.696153846
NLA06608-0200,2.906153846
NLA06608-0380,-3.31
NLA06608-0124,1.023846154
NLA06608-0344,2.267692308
NLA06608-0016,1.585384615
NLA06608-0016,1.585384615
NLA06608-0492,-3.31
NLA06608-0236,-3.31
NLA06608-0316,-3.31
NLA06608-0216,0.396153846
NLA06608-0384,-1.08
NLA06608-0442,-1.08
NLA06608-0186,-1.08
NLA06608-0222,-1.08
NLA06608-0206,-1.389230769
NLA06608-0240,-2.512307692
NLA06608-0230,0.230769231
NLA06608-0059,-1.413846154
NLA06608-0040,-2.187692308
NLA06608-0243,-0.696153846
NLA06608-0224,0.263846154
NLA06608-0224,0.263846154
NLA06608-0231,-3.080769231
NLA06608-0414,-4.131538462
NLA06608-0167,-1.951538462
NLA06608-0167,-1.951538462
NLA06608-0487,-3.080769231
NLA06608-0423,-1.951538462
NLA06608-0075,1.22
NLA06608-0183,-4.131538462
NLA06608-0032,-2.006153846
NLA06608-0304,-0.62
NLA06608-0176,-2.323076923
NLA06608-0359,0.987692308
NLA06608-0343,2.530769231
NLA06608-0215,-1.951538462
NLA06608-0151,-1.951538462
NLA06608-0103,0.987692308
NLA06608-0494,-4.025384615
NLA06608-0238,-3.080769231
NLA06608-0387,-3.080769231
NLA06608-0046,-1.951538462
NLA06608-0366,-1.368461538
NLA06608-0455,1.3
NLA06608-0011,0.439230769
NLA06608-0264,2.487692308
NLA06608-0302,2.456923077
NLA06608-0174,0.987692308
NLA06608-0174,0.987692308
NLA06608-0110,-1.368461538
NLA06608-0382,-3.665384615
NLA06608-0048,0.767692308
NLA06608-0048,0.767692308
NLA06608-0160,-2.286923077
NLA06608-0208,-0.62
NLA06608-0211,-1.368461538
NLA06608-0279,1.383076923
NLA06608-0227,-2.226153846
NLA06608-0051,-2.226153846
NLA06608-0350,-2.315384615
NLA06608-0263,-4.131538462
NLA06608-0007,-4.131538462
NLA06608-0007,-4.131538462
NLA06608-0435,-2.315384615
NLA06608-0158,-4.131538462
NLA06608-0099,2.117692308
NLA06608-0099,2.117692308
NLA06608-0476,1.763076923
NLA06608-0462,-3.916153846
NLA06608-0398,-2.315384615
NLA06608-0091,2.278461538
NLA06608-0091,2.278461538
NLA06608-0427,2.144615385
NLA06608-0252,-2.37
NLA06608-0084,0.063076923
NLA06608-0416,-0.060769231
NLA06608-0256,-1.08
NLA06608-0484,-2.286923077
NLA06608-0334,-1.06
NLA06608-0014,-0.023846154
NLA06608-0014,-0.023846154
NLA06608-0368,-2.286923077
NLA06608-0078,-1.06
NLA06608-0078,-1.06
NLA06608-0254,-1.06
NLA06608-0307,-0.973076923
NLA06608-0411,1.983846154
NLA06608-0428,2.117692308
NLA06608-0155,1.983846154
NLA06608-0272,0.453076923
NLA06608-0336,-2.323076923
NLA06608-0499,1.563076923
NLA06608-0135,0.114615385
NLA06608-0156,-0.456153846
NLA06608-0436,-0.844615385
NLA06608-0432,-2.053846154
NLA06608-0444,-2.053846154
NLA06608-0080,-2.180769231
NLA06608-0080,-2.180769231
NLA06608-0392,2.487692308
NLA06608-0188,-1.28
NLA06608-0300,-1.173076923
NLA06608-0391,-1.937692308
NLA06608-0327,-1.89
NLA06608-0172,-1.89
NLA06608-0071,0.114615385
NLA06608-0071,0.114615385
NLA06608-0190,-4.025384615
NLA06608-0008,1.407692308
NLA06608-0008,1.407692308
NLA06608-0147,-4.025384615
NLA06608-0163,-2.226153846
NLA06608-0419,-2.226153846
NLA06608-0412,1.763076923
NLA06608-0136,1.763076923
NLA06608-0371,-2.226153846
NLA06608-0298,-2.226153846
NLA06608-0039,2.456923077
NLA06608-0480,0.263846154
NLA06608-0480,0.263846154
NLA06608-0142,-2.315384615
NLA06608-0112,0.063076923
NLA06608-0403,-4.025384615
NLA06608-0106,-2.884615385
NLA06608-0458,-4.17
NLA06608-0266,-4.047692308
NLA06608-0335,-3.613076923
NLA06608-0207,-3.613076923
NLA06608-0207,-3.613076923
NLA06608-0223,-3.613076923
NLA06608-0223,-3.613076923
NLA06608-0095,-2.93
NLA06608-0047,-3.430769231
NLA06608-0431,-3.884615385
NLA06608-0345,0.12
NLA06608-0301,0.786923077
NLA06608-0413,1.011538462
NLA06608-0217,0.037692308
NLA06608-0157,-0.227692308
NLA06608-0409,-0.344615385
NLA06608-0258,-0.626923077
NLA06608-0313,-0.978461538
NLA06608-0057,-0.978461538
NLA06608-0057,-0.978461538
NLA06608-0473,-1.262307692
NLA06608-0002,-2.122307692
NLA06608-0002,-2.122307692
NLA06608-0361,-1.103846154
NLA06608-0089,-1.859230769
NLA06608-0089,-1.859230769
NLA06608-0233,-1.103846154
NLA06608-0253,-2.740769231
