"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"WSA9_Ecoregions","TPL","vert","95Pct",118,0.537310772796321,"",0.496564274189778,1.01402484588322
"WSA9_Ecoregions","TPL","vert","Mean",131,0.232641496183062,"0.0273850618444063",0.178967761253623,0.2863152311125
"WSA9_Ecoregions","TPL","vert","Variance",131,0.0686883028875852,"0.0158494794532085",0.037623893985589,0.0997527117895815
"WSA9_Ecoregions","TPL","vert","Std. Deviation",131,0.262084533858038,"0.0302373421657029",0.202820432225046,0.32134863549103
"WSA9_Ecoregions","UMW","vert","5Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","10Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","25Pct",21,0,"",0,0.0391480527007946
"WSA9_Ecoregions","UMW","vert","50Pct",50,0.0988938118220779,"",0.0681953511124684,0.178193016415753
"WSA9_Ecoregions","UMW","vert","75Pct",104,0.296137225598078,"",0.192318019791209,0.357058189484068
"WSA9_Ecoregions","UMW","vert","90Pct",131,0.493179081058627,"",0.333562707695813,2.55769642827703
"WSA9_Ecoregions","UMW","vert","95Pct",139,0.986278585223113,"",0.47264504316378,2.66
"WSA9_Ecoregions","UMW","vert","Mean",144,0.263765790616366,"0.0717143925134267",0.123208164116881,0.404323417115851
"WSA9_Ecoregions","UMW","vert","Variance",144,0.262884251426458,"0.155223825351153",0,0.567117358657253
"WSA9_Ecoregions","UMW","vert","Std. Deviation",144,0.512722392164081,"0.151372192558228",0.216038346489093,0.80940643783907
"WSA9_Ecoregions","WMT","vert","5Pct",7,0.0217031973548041,"",0,0.0895962761733333
"WSA9_Ecoregions","WMT","vert","10Pct",13,0.0898691215914991,"",0.0214258440147377,0.114978364951287
"WSA9_Ecoregions","WMT","vert","25Pct",27,0.186389221083486,"",0.111540458824535,0.287998919148949
"WSA9_Ecoregions","WMT","vert","50Pct",44,0.327875424531798,"",0.23459055501289,0.498695249686965
"WSA9_Ecoregions","WMT","vert","75Pct",79,0.793794671135329,"",0.398258442031273,1.0949312125375
"WSA9_Ecoregions","WMT","vert","90Pct",91,1.09541588072841,"",0.94633697793897,28
"WSA9_Ecoregions","WMT","vert","95Pct",110,2.35909369106488,"",1.64036661494658,4.49941127912254
"WSA9_Ecoregions","WMT","vert","Mean",134,0.871814976788542,"0.174973443622428",0.528873329037634,1.21475662453945
"WSA9_Ecoregions","WMT","vert","Variance",134,6.38117357718389,"3.82549319891905",0,13.8790024701681
"WSA9_Ecoregions","WMT","vert","Std. Deviation",134,2.52609848920898,"0.757193992091133",1.04202553540025,4.01017144301771
"WSA9_Ecoregions","XER","vert","5Pct",7,0.191635933902594,"",0.179373748816743,0.194740344266955
"WSA9_Ecoregions","XER","vert","10Pct",7,0.197223177835879,"",0.193339088928617,0.219553396353703
"WSA9_Ecoregions","XER","vert","25Pct",19,0.36775243842624,"",0.198130185182311,0.521121054094405
"WSA9_Ecoregions","XER","vert","50Pct",39,0.933059358444234,"",0.495051879768455,0.998737117248038
"WSA9_Ecoregions","XER","vert","75Pct",44,1.05239261368904,"",0.986303747398799,1.99273571256207
"WSA9_Ecoregions","XER","vert","90Pct",62,2.78338980409374,"",1.95841535183287,12.3120308855215
"WSA9_Ecoregions","XER","vert","95Pct",74,7.5024300520675,"",2.49311113431993,40
"WSA9_Ecoregions","XER","vert","Mean",80,2.41314212834744,"1.07630001929584",0.303632853967823,4.52265140272706
"WSA9_Ecoregions","XER","vert","Variance",80,48.7937243930281,"38.2180329566451",0,123.699692548017
"WSA9_Ecoregions","XER","vert","Std. Deviation",80,6.98525048892508,"2.73562365567553",1.62352664854524,12.3469743293049
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","5Pct",12,0,"",0,0
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","10Pct",12,0,"",0,0
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","25Pct",12,0,"",0,0.0380452891077875
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","50Pct",15,0.0894630718165875,"",0,0.287702176646935
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","75Pct",41,0.295735116197573,"",0.0955526422002371,2.97289415752084
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","90Pct",48,0.99103207286818,"",0.293998804834449,3.1
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","95Pct",52,2.97463344151872,"",0.7981617817603,3.1
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","Mean",54,0.420072599876355,"0.179315445563205",0.06862078470072,0.77152441505199
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","Variance",54,0.656756981809867,"0.395540590930077",0,1.43200229445651
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","Std. Deviation",54,0.81040544285553,"0.244038705821347",0.332098368611925,1.28871251709913
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","5Pct",4,0,"",0,0.077638607195283
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","10Pct",4,0,"",0,0.101666780443518
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","25Pct",7,0.101445001792637,"",0,0.292997923302517
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","50Pct",15,0.298365983274334,"",0.103894807247236,0.797132699605675
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","75Pct",28,0.797921102277201,"",0.296321430084852,1.5
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","90Pct",31,1.03437529243785,"",0.798234287802186,1.5
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","95Pct",32,1.4946498729048,"",0.963479422463516,1.5
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","Mean",33,0.530842020932209,"0.103651073950544",0.327689649030246,0.733994392834172
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","Variance",33,0.212458084945762,"0.0623022484889575",0.0903479217515406,0.334568248139984
"WSA9_by_Lake_Origin","CPL_NATURAL","vert","Std. Deviation",33,0.46093175736302,"0.0675829420448128",0.328471624985929,0.593391889740111
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","5Pct",2,0.00978411227590454,"",0.00915908948888484,0.0139492184461357
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","10Pct",3,0.0172786368371384,"",0.00914581392103415,0.137532175680712
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","25Pct",19,0.211111100261944,"",0.0163159609828855,0.211111108632724
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","50Pct",22,0.287869310131075,"",0.199974937022442,0.337869034355564
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","75Pct",26,0.335954912061972,"",0.288184592198272,1.84872193979886
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","90Pct",34,1.838585899158,"",0.324074811453292,1.85
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","95Pct",34,1.844292949579,"",0.326232582529772,1.85
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","Mean",35,0.529466593588607,"0.202187115072505",0.133187129908442,0.925746057268773
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","Variance",35,0.404492886332883,"0.203206025731137",0.00621639445833549,0.802769378207431
"WSA9_by_Lake_Origin","NAP_MAN_MADE","vert","Std. Deviation",35,0.635997552143782,"0.159753779748194",0.322885897443178,0.949109206844387
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","5Pct",4,0.00960446302239232,"",0,0.0902371454152064
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","10Pct",8,0.0912563461320527,"",0.00917121400782347,0.0955600301543955
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","25Pct",17,0.11336960022143,"",0.092891747951255,0.195530690734777
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","50Pct",31,0.234461324463014,"",0.192148127630857,0.295931190869496
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","75Pct",44,0.392260262925186,"",0.292896159553256,0.428959208442928
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","90Pct",47,0.429730070850893,"",0.391810867768251,1.85
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","95Pct",50,0.523917353623744,"",0.429355244301345,1.85
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","Mean",56,0.262973066498833,"0.021118778886737",0.221581020483364,0.304365112514302
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","Variance",56,0.0329638205419289,"0.00809368100556214",0.0171004972686711,0.0488271438151866
"WSA9_by_Lake_Origin","NAP_NATURAL","vert","Std. Deviation",56,0.181559413256181,"0.0222893455657458",0.137873098708352,0.225245727804011
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","5Pct",5,0,"",0,0.34757638057972
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","10Pct",11,0.340203959189447,"",0,0.490878733401156
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","25Pct",12,0.491669376020561,"",0,0.494197659296283
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","50Pct",12,0.495154515095951,"",0.490557626780055,0.499751403411848
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","75Pct",12,0.498639654171341,"",0.491916255578086,5
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","90Pct",22,1.76345812631218,"",0.498678747920243,5
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","95Pct",23,2.05929082382929,"",0.499609019028334,5
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","Mean",27,0.647538120394186,"0.118333134934307",0.415609437745226,0.879466803043145
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","Variance",27,0.342664567611457,"0.173174878519125",0.0032480426868729,0.68208109253604
"WSA9_by_Lake_Origin","NPL_MAN_MADE","vert","Std. Deviation",27,0.585375578249944,"0.147917751400608",0.295462112830603,0.875289043669285
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","5Pct",5,0,"",0,0.0222285331767415
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","10Pct",5,0.0103266970715934,"",0,0.0276838132215906
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","25Pct",8,0.0903991632316695,"",0,0.0960666074894639
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","50Pct",8,0.0975433546779822,"",0.0287480834268744,0.664316834648586
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","75Pct",18,0.495714348788868,"",0.0989010407068978,1.78041438181426
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","90Pct",28,1.19874648915857,"",0.66694855268747,2.02
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","95Pct",32,1.78017544436783,"",0.970941141149776,2.02
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","Mean",36,0.392918831024955,"0.118944208035892",0.159792467104966,0.626045194944943
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","Variance",36,0.293273861462781,"0.0990102626227635",0.0992173126223125,0.48733041030325
"WSA9_by_Lake_Origin","NPL_NATURAL","vert","Std. Deviation",36,0.541547653916792,"0.0914141737173662",0.362379165754266,0.720716142079317
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","5Pct",10,0,"",0,0.0450286630637711
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","10Pct",10,0,"",0,0.0951966281928129
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","25Pct",24,0.136727291495431,"",0,0.159797967522577
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","50Pct",34,0.189986099141951,"",0.156941981939619,0.212489498253666
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","75Pct",50,0.233845280534712,"",0.197343700903452,0.683039850460279
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","90Pct",82,0.687092947794744,"",0.289771853828234,7
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","95Pct",83,0.72721353792532,"",0.692935233602331,1.14364986134274
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","Mean",109,0.284651319747743,"0.043041320191732",0.200291882324892,0.369010757170595
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","Variance",109,0.229392032771407,"0.0854271391511355",0.0619579167328898,0.396826148809924
"WSA9_by_Lake_Origin","SAP_MAN_MADE","vert","Std. Deviation",109,0.478948883255204,"0.0891818961665857",0.304155578695705,0.653742187814703
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","5Pct",20,0,"",0,0
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","10Pct",20,0,"",0,0
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","25Pct",20,0,"",0,0.0941636474093027
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","50Pct",44,0.195224168629998,"",0,0.572459609571993
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","75Pct",79,0.577793984126805,"",0.294723911242046,1.49744461114834
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","90Pct",97,1.37559251659806,"",0.719086420614571,6
"WSA9_by_Lake_Origin","SPL_MAN_MADE","vert","95Pct",98,1.49673230949229,"",0.746917973347483,6
