"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"67","bffFlat_grad","~~","PHDI","",-0.0718233271969717,0,NA,NA,-0.0718233271969717,-0.0718233271969717
"68","bffFlat_grad","~~","HydrAP","",-0.0891685454214817,0,NA,NA,-0.0891685454214817,-0.0891685454214817
"69","L_inflow","~~","L_inflow","",1,0,NA,NA,1,1
"70","L_inflow","~~","BFIWs","",0.23019007519695,0,NA,NA,0.23019007519695,0.23019007519695
"71","L_inflow","~~","Temp_degC_avg_yr","",-0.0531506905819238,0,NA,NA,-0.0531506905819238,-0.0531506905819238
"72","L_inflow","~~","Precip_mm_total_yr_sc","",0.496235639786114,0,NA,NA,0.496235639786114,0.496235639786114
"73","L_inflow","~~","PHDI","",0.154582810168644,0,NA,NA,0.154582810168644,0.154582810168644
"74","L_inflow","~~","HydrAP","",0.00836261388197711,0,NA,NA,0.00836261388197711,0.00836261388197711
"75","BFIWs","~~","BFIWs","",1,0,NA,NA,1,1
"76","BFIWs","~~","Temp_degC_avg_yr","",-0.26958358865938,0,NA,NA,-0.26958358865938,-0.26958358865938
"77","BFIWs","~~","Precip_mm_total_yr_sc","",0.0552155558647559,0,NA,NA,0.0552155558647559,0.0552155558647559
"78","BFIWs","~~","PHDI","",-0.233546387413045,0,NA,NA,-0.233546387413045,-0.233546387413045
"79","BFIWs","~~","HydrAP","",-0.348474090304681,0,NA,NA,-0.348474090304681,-0.348474090304681
"80","Temp_degC_avg_yr","~~","Temp_degC_avg_yr","",1,0,NA,NA,1,1
"81","Temp_degC_avg_yr","~~","Precip_mm_total_yr_sc","",0.120618801915809,0,NA,NA,0.120618801915809,0.120618801915809
"82","Temp_degC_avg_yr","~~","PHDI","",-0.0260041400540146,0,NA,NA,-0.0260041400540146,-0.0260041400540146
"83","Temp_degC_avg_yr","~~","HydrAP","",0.368879957132565,0,NA,NA,0.368879957132565,0.368879957132565
"84","Precip_mm_total_yr_sc","~~","Precip_mm_total_yr_sc","",1,0,NA,NA,1,1
"85","Precip_mm_total_yr_sc","~~","PHDI","",0.233241091753795,0,NA,NA,0.233241091753795,0.233241091753795
"86","Precip_mm_total_yr_sc","~~","HydrAP","",-0.104328737566266,0,NA,NA,-0.104328737566266,-0.104328737566266
"87","PHDI","~~","PHDI","",1,0,NA,NA,1,1
"88","PHDI","~~","HydrAP","",0.211180299598968,0,NA,NA,0.211180299598968,0.211180299598968
"89","HydrAP","~~","HydrAP","",1,0,NA,NA,1,1
"90","L_HorizDD_use","~1","","",1.14861932078356,0.269334741518761,4.2646533986168,2.00212753720397e-05,0.620732927621386,1.67650571394574
"91","L_VertDD_use","~1","","",-0.958372363804571,0.299481948954682,-3.20010059754751,0.00137379628617729,-1.54534619777561,-0.371398529833532
"92","L_EI","~1","","",-0.724338426806548,0.220920507906134,-3.27872877747642,0.00104275803290643,-1.15733466574887,-0.29134218786423
"93","L_DpthMx_mod","~1","","",1.63944934510665,0,NA,NA,1.63944934510665,1.63944934510665
"94","L_LkAreakm2","~1","","",-0.536086741764458,0,NA,NA,-0.536086741764458,-0.536086741764458
"95","L_SLD","~1","","",1.46792877001523,0,NA,NA,1.46792877001523,1.46792877001523
"96","bffFlat_grad","~1","","",2.9950006216475,0,NA,NA,2.9950006216475,2.9950006216475
"97","L_inflow","~1","","",0.575516588949924,0,NA,NA,0.575516588949924,0.575516588949924
"98","BFIWs","~1","","",3.08512409039912,0,NA,NA,3.08512409039912,3.08512409039912
"99","Temp_degC_avg_yr","~1","","",2.21062924644808,0,NA,NA,2.21062924644808,2.21062924644808
"100","Precip_mm_total_yr_sc","~1","","",1.93565282920418,0,NA,NA,1.93565282920418,1.93565282920418
"101","PHDI","~1","","",-0.140876335102707,0,NA,NA,-0.140876335102707,-0.140876335102707
"102","HydrAP","~1","","",1.44937451987257,0,NA,NA,1.44937451987257,1.44937451987257
"103","area_horiz",":=","a*q","area_horiz",0.00960575168978024,0.00764066294117353,1.25718825234619,0.208685476177393,-0.00536967249292977,0.0245811758724902
"104","zmax_horiz",":=","a*n","zmax_horiz",-0.0271866666229755,0.018528919284678,-1.46725592600842,0.142306448371399,-0.063502681093394,0.00912934784744308
"105","bank_horiz",":=","u*a","bank_horiz",0.00522412304731456,0.00444724790623282,1.17468671804712,0.240120075069023,-0.00349232267922292,0.013940568773852
"106","inflow_horiz",":=","a*w","inflow_horiz",-0.0384550646286991,0.025491549730187,-1.50854165540045,0.131415953883137,-0.0884175840099773,0.011507454752579
"107","base_horiz",":=","a*x","base_horiz",-0.00585804693294526,0.00491385630400181,-1.19214860397414,0.233202981937151,-0.0154890283139939,0.00377293444810339
"108","temp_horiz",":=","a*i","temp_horiz",0.0073973678761239,0.0055960272320558,1.32189633276791,0.186202673760639,-0.00357064395521083,0.0183653797074586
"109","precip_horiz",":=","a*alpha","precip_horiz",-0.0037720209483912,0.00436615084490698,-0.863923644047063,0.387629837247507,-0.012329519355478,0.00478547745869561
"110","phdi_horiz",":=","a*beta","phdi_horiz",-0.00534490522903247,0.00495905880528154,-1.07780638199732,0.281120170865182,-0.0150644818846005,0.00437467142653557
"111","hydrap_horiz",":=","a*k","hydrap_horiz",0.00788128763043862,0.00614122404833161,1.28334149160048,0.199372462285175,-0.0041552903252826,0.0199178655861598
"112","area_vert",":=","h*q","area_vert",0.0152669632016072,0.0091606529159557,1.66658024724589,0.0955978992973088,-0.00268758658853776,0.0332215129917522
"113","zmax_vert",":=","h*n","zmax_vert",-0.0432093033748644,0.0195427393713178,-2.21101568996418,0.0270347505693429,-0.0815123687019002,-0.00490623804782852
"114","bank_vert",":=","h*u","bank_vert",0.00830299355009085,0.0059026602053788,1.40665280758068,0.159530365968216,-0.00326600786542939,0.0198719949656111
"115","inflow_vert",":=","h*w","inflow_vert",-0.0611188041875366,0.0265814129542776,-2.29930607122602,0.0214875653232292,-0.113217416236107,-0.00902019213896599
"116","base_vert",":=","h*x","base_vert",-0.00931052455308778,0.0064066198672649,-1.45326626926323,0.146149838784721,-0.0218672687555658,0.0032462196493902
"117","temp_vert",":=","h*i","temp_vert",0.011757054190115,0.00683571588117595,1.71994483013715,0.0854424705028123,-0.00164070274553834,0.0251548111257684
"118","precip_vert",":=","h*alpha","precip_vert",-0.00599508574389326,0.0064312555728864,-0.932179677195229,0.351243676406092,-0.0186001150421231,0.00660994355433659
"119","phdi_vert",":=","h*beta","phdi_vert",-0.00849495948708869,0.0063571200030034,-1.33629056602286,0.181454318848593,-0.0209546857383745,0.00396476676419715
"120","hydrap_vert",":=","h*k","hydrap_vert",0.0125261751626584,0.00751444387227778,1.66694640023459,0.0955250633280367,-0.0022018641908538,0.0272542145161705
"121","total_area_horiz",":=","o+area_horiz","total_area_horiz",0.24371217674941,0.0650067535494921,3.74902857691336,0.000177520858725133,0.116301281040534,0.371123072458286
"122","total_zmax_horiz",":=","l+zmax_horiz","total_zmax_horiz",-0.166639494815535,0.0490688883521301,-3.39603158766692,0.000683704688855924,-0.262812748747127,-0.0704662408839431
