SITE_ID,VISIT_NO,UID,INDEX_SITE_DEPTH
NLA12_MN-101,2,8308,9.8
NLA12_MN-102,1,6663,6.1
NLA12_MN-103,1,7748,2
NLA12_MN-104,1,7573,2.9
NLA12_MN-105,1,6798,4.8
NLA12_MN-106,1,7765,17.5
NLA12_MN-107,1,6602,14.5
NLA12_MN-108,1,6686,24
NLA12_MN-109,1,6816,1.6
NLA12_MN-110,1,7411,4.8
NLA12_MN-111,1,6472,9.1
NLA12_MN-112,1,7942,3.1
NLA12_MN-113,1,7243,1.6
NLA12_MN-114,1,7971,3.1
NLA12_MN-115,1,7767,10.6
NLA12_MN-116,1,7141,8.5
NLA12_MN-118,1,6471,1
NLA12_MN-119,1,7737,4
NLA12_MN-120,1,6547,3.9
NLA12_MN-121,1,7723,9.5
NLA12_MN-122,1,6548,4
NLA12_MN-123,1,7061,4.8
NLA12_MN-123,2,8283,4.9
NLA12_MN-126,1,7381,2.5
NLA12_MN-127,1,8087,2
NLA12_MN-130,1,6721,3.6
NLA12_MN-131,1,7574,1.1
NLA12_MN-132,1,6526,12
NLA12_MN-135,1,7945,1.1
NLA12_MN-136,1,8135,1.7
NLA12_MN-137,1,6574,1.3
NLA12_MN-138,1,6870,3.1
NLA12_MN-141,1,7403,5.6
NLA12_MN-143,1,7581,1.7
NLA12_MN-144,1,8295,1.8
NLA12_MN-145,1,6470,3.6
NLA12_MN-147,1,7052,4.4
NLA12_MN-150,1,6839,3.5
NLA12_MN-152,1,7924,3.3
NLA12_MN-153,1,6876,5.6
NLA12_MN-157,1,7425,6
NLA12_MN-158,1,8141,1.8
NLA12_MN-160,1,7828,4
NLA12_MN-162,1,8404,6.3
NLA12_MN-163,1,6716,2.6
NLA12_MN-167,1,7815,2.9
NLA12_MN-170,1,8405,7.5
NLA12_MN-171,1,8284,1.3
NLA12_MN-177,1,7802,1.5
NLA12_MN-180,1,8397,7.8
NLA12_MN-181,1,8396,1.7
NLA12_MO-101,1,7416,2.7
NLA12_MO-101,2,8660,3.6
NLA12_MO-102,1,8813,10.8
NLA12_MO-103,1,7255,8.6
NLA12_MO-104,1,6746,7.5
NLA12_MO-105,1,7911,6.7
NLA12_MO-106,1,8554,4.6
NLA12_MO-107,1,6517,2.5
NLA12_MO-108,1,6992,4.8
NLA12_MO-108,2,7974,4.6
NLA12_MO-109,1,6462,9.5
NLA12_MO-110,1,7912,8.2
NLA12_MO-115,1,7132,6.8
NLA12_MO-117,1,6747,6.5
NLA12_MO-119,1,6614,3.5
NLA12_MO-120,1,8416,3.6
NLA12_MO-122,1,8289,3.6
NLA12_MO-123,1,8118,3.3
NLA12_MO-126,1,8290,2.1
NLA12_MS-101,1,6534,3.2
NLA12_MS-101,2,7501,3.1
NLA12_MS-102,1,6535,6.2
NLA12_MS-103,1,7372,7.5
NLA12_MS-104,1,6536,2.3
NLA12_MS-105,1,7433,5.9
NLA12_MS-106,1,6415,NA
NLA12_MS-107,1,6414,5.2
NLA12_MS-112,1,7503,2.5
NLA12_MS-113,1,7571,NA
NLA12_MS-116,1,1000001,NA
NLA12_MS-116,2,7620,6.9
NLA12_MS-119,1,1000011,6.2
NLA12_MS-125,1,7504,NA
NLA12_MS-126,1,7404,2.5
NLA12_MS-128,1,7535,6.3
NLA12_MT-102,1,8069,38.4
NLA12_MT-102,2,8472,41.2
NLA12_MT-103,1,8302,2.5
NLA12_MT-104,1,6542,8.9
NLA12_MT-105,1,8476,21
NLA12_MT-106,1,7321,16.5
NLA12_MT-107,1,7022,2.7
NLA12_MT-108,1,7133,4.4
NLA12_MT-109,1,6664,7.8
NLA12_MT-110,1,7623,16.5
NLA12_MT-111,1,8486,50
NLA12_MT-113,1,6427,5.8
NLA12_MT-118,1,6696,2.2
NLA12_MT-119,1,8328,1.5
NLA12_MT-120,1,8155,4.3
NLA12_MT-124,1,7713,13.1
NLA12_MT-126,1,6799,1.4
NLA12_MT-135,1,8278,7.2
NLA12_MT-136,1,8130,41
NLA12_MT-138,1,6742,3.7
NLA12_MT-140,1,7925,18
NLA12_MT-142,1,6888,1.5
NLA12_MT-143,1,7065,5.6
NLA12_MT-144,1,8008,3.5
NLA12_MT-151,1,8250,1.6
NLA12_MT-152,1,7625,12.5
NLA12_MT-154,1,6821,1
NLA12_MT-156,1,7472,12.1
NLA12_MT-160,1,7471,3.7
NLA12_MT-161,1,8385,6.8
NLA12_MT-162,1,8641,22
NLA12_MT-164,1,8200,30
NLA12_MT-164,2,8543,40
NLA12_MT-177,1,8435,2
NLA12_NC-101,1,6399,10.7
NLA12_NC-101,2,8045,18.7
NLA12_NC-103,1,6504,6
NLA12_NC-104,1,7770,1.7
