SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_MT-154,1,50.29,120712.1,NA
NLA12_ID-194,1,22.88,120710.1,NA
NLA12_UT-173,1,2.67,120712.1,NA
NLA12_UT-165,1,1.36,120712.1,NA
NLA12_WV-111,1,2.51,120712.1,NA
NLA12_NV-109,1,NA,NA,NA
NLA12_KS-107,1,4.56,120712.1,NA
NLA12_RI-104,1,4.82,120710.1,NA
NLA12_PA-118,1,8.01,NOT PROVIDED,NA
NLA12_PA-109,1,5.79,NOT PROVIDED,NA
NLA12_NY-0102,1,2.79,120710.1,NA
NLA12_WV-R01,1,2.29,120710.1,NA
NLA12_DE-102,1,60.8,120718.1,NA
NLA12_MN-150,1,5.44,120712.1,NA
NLA12_IA-R02,1,141.6,120712.1,NA
NLA12_ND-102,1,17.9,120712.1,NA
NLA12_OR-111,1,465.6,120712.1,NA
NLA12_IA-113,1,18.3,120706.1,NA
NLA12_TX-107,1,7.62,120712.1,NA
NLA12_KS-121,1,17.8,120712.1,NA
NLA12_ND-119,1,12.36,120712.1,NA
NLA12_ND-167,1,16.11,120712.1,NA
NLA12_CT-102,1,1.42,120712.1,NA
NLA12_LA-134,2,13.6,120712.1,NA
NLA12_NH-103,1,2.05,120712.1,NA
NLA12_TX-105,1,32.8,120712.1,NA
NLA12_ND-187,1,3.54,120712.1,NA
NLA12_LA-101,2,94.67,120712.1,NA
NLA12_UT-186,1,13.44,120718.1,NA
NLA12_UT-141,1,53,120718.1,NA
NLA12_MN-138,1,5.7,120712.1,NA
NLA12_SD-102,1,42.8,120712.1,NA
NLA12_CO-114,1,5.89,120710.1,NA
NLA12_CO-131,1,2.48,120712.1,NA
NLA12_MN-153,1,5.74,120718.1,NA
NLA12_WV-112,1,22.97,120718.1,NA
NLA12_MT-142,1,3.24,120718.1,NA
NLA12_GA-118,1,0.86,120718.1,NA
NLA12_MD-105,1,21.12,120712.1,NA
NLA12_IA-150,1,57.6,120718.1,NA
NLA12_LA-172,1,53.33,120712.1,NA
NLA12_OK-103,1,9.04,CHLL-20120801,NA
NLA12_OH-103,1,3.88,120718.1,NA
NLA12_WA-118,1,3.81,120718.1,NA
NLA12_UT-148,1,77.33,120718.1,NA
NLA12_KS-122,1,12.61,120718.1,NA
NLA12_RI-102,1,4.43,120718.1,NA
NLA12_ID-168,1,0.78,120718.1,NA
NLA12_KY-107,2,10.96,120718.1,NA
NLA12_ID-141,1,1.41,120718.1,NA
NLA12_UT-125,1,0.56,120718.1,NA
NLA12_KY-116,1,1.66,120706.1,NA
NLA12_KY-101,2,0.78,120718.1,NA
NLA12_VT-112,1,NA,NA,M
NLA12_ID-113,1,5.27,120718.1,NA
NLA12_ID-101,1,1.48,120718.1,NA
NLA12_SD-183,1,4.57,120718.1,NA
NLA12_ND-196,1,18.3,120718.1,NA
NLA12_UT-260,1,4.6,120724.1,NA
NLA12_RI-111,1,9.76,120718.1,NA
NLA12_MD-101,1,1.72,120718.1,NA
NLA12_KS-101,2,8.52,120718.1,NA
NLA12_ID-209,1,0.27,120724.1,NA
NLA12_ID-175,1,11.48,120724.1,NA
NLA12_CO-108,1,0.61,120718.1,NA
NLA12_IA-152,1,56.4,120719.1,NA
NLA12_ND-106,1,3.24,120724.1,NA
NLA12_WA-157,1,2.08,120718.1,NA
NLA12_WA-121,1,4.59,120718.1,NA
NLA12_WY-101,1,0.48,120718.1,NA
NLA12_MO-108,1,2.21,120724.1,NA
NLA12_WY-104,1,1.18,120724.1,NA
NLA12_WY-107,1,2.24,120724.1,NA
NLA12_MI-111,1,35.52,120724.1,NA
NLA12_MI-114,1,3.61,120724.1,NA
NLA12_MI-135,1,3.32,120724.1,NA
NLA12_MI-155,1,6.83,120724.1,NA
NLA12_WY-130,1,4.11,120724.1,NA
NLA12_IA-104,1,13.9,120724.1,NA
NLA12_CA-101,1,8,L-341-12_12_2327,NA
NLA12_GA-105,1,1.44,120724.1,NA
NLA12_MT-107,1,7.22,120724.1,NA
