SITE_ID,VISIT_NO,MICL_RESULT_ugL,MICL_BATCH_ID,MICL_QA_FLAG
NLA12_IA-127,1,0.08635,M11,J02
NLA12_MO-R02,1,0.10005,M11,J03
NLA12_NJ-131,1,0.30915,M11,NA
NLA12_MN-147,1,0,B2H0324,N
NLA12_VA-111,1,0.0897,M12,J02
NLA12_VA-101,1,0.07795,M12,J02
NLA12_WA-138,1,0,M12,N
NLA12_VT-R01,1,0,M11,N
NLA12_UT-169,1,0.07788,M11,J02
NLA12_NJ-118,1,0.06761,M11,J02
NLA12_OK-117,1,0.293,M11,NA
NLA12_MN-123,1,0,B2H0324,N
NLA12_SD-126,1,1.7078,M12,NA
NLA12_TX-176,1,0.12857,M12,J03
NLA12_CA-180,1,0.07661,M12,J02
NLA12_MT-143,1,0.08892,M11,J02
NLA12_ND-134,1,2.28925,M11,NA
NLA12_ND-107,1,0.42797,M11,NA
NLA12_MO-R01,1,0.06659,M11,J02
NLA12_WY-135,1,0.09084,M12,J02
NLA12_WY-131,1,0.08231,M12,J02
NLA12_CT-104,1,0.06411,M11,J02
NLA12_RI-110,1,0,M12,N
NLA12_VA-121,1,0.1888,M12,NA
NLA12_VA-105,1,0,M12,N
NLA12_VT-R02,1,0.10688,M11,J03
NLA12_UT-210,1,0.06634,M11,J02
NLA12_OR-169,1,0,M12,N
NLA12_CO-115,1,0.07877,M12,J02
NLA12_MI-101,1,0.06166,M11,J02
NLA12_NH-102,1,0.08781,M11,J02
NLA12_OH-136,1,1.4296,M11,NA
NLA12_OK-302,1,0.101,M11,J03
NLA12_SD-158,1,3.01118,M12,NA
NLA12_TX-170,1,0.14642,M11,NA
NLA12_TX-190,1,0.10659,M12,J03
NLA12_PA-105,1,0,2012MCN_NLA_02RP,N
NLA12_PA-110,1,0,2012MCN_NLA_02RP,N
NLA12_MN-101,1,0,B2H0324,N
NLA12_IA-134,1,0.80026,M11,NA
NLA12_CA-105,1,0.11835,M11,J03
NLA12_MO-115,1,0.10229,M11,J03
NLA12_MT-108,1,0.64599,M11,NA
NLA12_NV-105,1,0.07225,M11,J02
NLA12_NV-119,1,0.1049,M11,J03
NLA12_NV-104,1,0.14536,M11,NA
NLA12_RI-112,1,0,M12,N
NLA12_MN-116,1,0.34,B2H0324,NA
NLA12_WA-141,1,0.54147,M12,NA
NLA12_RI-113,1,0.09854,M13,J03
NLA12_SD-111,1,42.7485,M12,NA
NLA12_NJ-102,1,0.09412,M12,J02
NLA12_NJ-119,1,0.06685,M11,J02
NLA12_UT-101,2,0,M12,N
NLA12_UT-222,1,0.15452,M11,NA
NLA12_UT-137,1,0.11979,M12,J03
NLA12_ID-112,1,0,M12,N
NLA12_ID-102,1,0,M12,N
NLA12_ID-108,1,0,M12,N
NLA12_ID-207,1,0.09198,M12,J02
NLA12_CA-R13,1,0.03319,M14,J02
NLA12_CO-101,1,0.17655,M12,NA
NLA12_NY-R02,1,0.11169,M13,J03
NLA12_TX-136,1,0.10671,M12,J03
NLA12_WA-101,1,0,M12,N
NLA12_ID-165,1,0,M12,N
NLA12_ID-121,1,0,M12,N
NLA12_ID-105,1,0,M12,N
NLA12_NY-0106,1,0,M13,N
NLA12_VA-109,2,0,M12,N
NLA12_SD-134,1,0.19104,M13,NA
NLA12_CA-R12,1,0,M14,N
NLA12_TX-111,1,0.16935,M13,NA
NLA12_NY-0110,1,0.10623,M13,J03
NLA12_OR-113,1,0,M14,N
NLA12_CA-190,1,0.39483,M14,NA
NLA12_NJ-104,1,0,M12,N
NLA12_NJ-101,1,0,M12,N
NLA12_IL-118,1,0.39112,M13,NA
NLA12_MD-115,1,0.14705,M15,NA
NLA12_CT-118,1,0,M12,N
NLA12_UT-294,1,0,M12,N
NLA12_OR-123,1,0.03805,M14,J02
NLA12_AL-102,1,0.15209,M14,NA
NLA12_CA-154,1,0.05429,M14,J02
NLA12_CA-R06,1,0.11398,M13,J03
NLA12_NH-111,1,0,M14,N
NLA12_OH-118,1,0.03068,M16,J02
NLA12_RI-103,1,0.12112,M13,J03
NLA12_VA-118,1,0,M13,N
NLA12_SD-108,1,0.12371,M13,J03
NLA12_IA-101,2,0.31792,M13,NA
NLA12_MN-113,1,3.86,B2I0330,NA
NLA12_TX-112,1,0.13801,M14,J03
NLA12_TX-152,1,3.27345,M13,NA
NLA12_IL-104,1,0.2337,M13,NA
NLA12_OR-155,1,0,M14,N
NLA12_MI-144,1,0.10806,M13,J03
NLA12_CA-R10,1,0,M13,N
NLA12_MO-103,1,0.10899,M17,J03
NLA12_WA-126,1,0,M14,N
NLA12_WA-112,1,0.10638,M13,J03
NLA12_WA-108,1,0.11861,M13,J03
NLA12_VA-110,1,0.15648,M13,NA
NLA12_VA-103,1,0,M13,N
NLA12_OK-299,1,0.13644,M16,J03
NLA12_CA-167,1,0,M14,N
NLA12_RI-108,1,0.11721,M13,J03
NLA12_TX-201,1,0,M14,N
NLA12_NY-0109,1,0.0348,M16,J02
NLA12_SD-105,1,2.18422,M13,NA
NLA12_IN-146,1,0.21208,M16,NA
NLA12_PA-114,1,0,2012MCN_NLA_02RP,N
NLA12_NV-177,1,0.1093,M13,J03
NLA12_NV-137,1,0.05478,M14,J02
NLA12_NV-119,2,0.26727,M13,NA
NLA12_NV-101,2,0,M14,N
NLA12_IL-106,1,0.30683,M14,NA
NLA12_NY-0111,1,0,M14,N
NLA12_OK-296,1,0.15165,M16,NA
NLA12_NY-R08,1,0.07099,M14,J02
NLA12_IN-116,1,0.07441,M16,J02
NLA12_CA-R05,1,0.11809,M13,J03
NLA12_AZ-140,1,0,M16,N
NLA12_AL-R03,1,0.03527,M14,J02
NLA12_AL-103,1,0.03593,M16,J02
NLA12_OH-127,1,0,M16,N
NLA12_NH-109,1,0.03423,M14,J02
NLA12_ME-R11,1,0,M15,N
NLA12_MD-103,1,0.09843,M15,J03
NLA12_TX-182,1,0.1571,M13,NA
NLA12_RI-111,2,0.18382,M14,NA
NLA12_NV-144,1,0.10852,M13,J03
NLA12_GA-102,1,0.54894,M16,NA
NLA12_ME-114,1,0.05393,M16,J02
NLA12_MT-106,1,0,M16,N
NLA12_CO-119,1,0.02701,M14,J02
NLA12_CO-106,1,0,M14,N
NLA12_CA-R01,1,0.06875,M17,J02
NLA12_NY-R04,1,0.07442,M14,J02
NLA12_NY-R11,1,0.13114,M14,J03
NLA12_CA-111,1,0.11153,M14,J03
NLA12_NE-101,1,1.53634,M16,NA
NLA12_ND-114,1,0.11081,M16,J03
NLA12_SD-133,1,0.14947,M16,NA
NLA12_PA-R10,1,0,M16,N
NLA12_PA-R11,1,0.08625,M16,J02
NLA12_OK-306,1,0.1193,M16,J03
NLA12_CA-200,1,0,M16,N
NLA12_UT-203,1,0,M14,N
NLA12_AL-104,1,0.07842,M17,J02
NLA12_NE-106,1,1.33643,M16,NA
NLA12_IN-108,1,0.13807,M16,J03
NLA12_IA-120,2,0.1816,M19,NA
NLA12_MS-103,1,0.10005,M16,J03
NLA12_AL-101,2,0.10268,M16,J03
NLA12_AL-112,1,0.09382,M16,J02
NLA12_AL-R05,1,0,M16,N
NLA12_NY-R07,1,0,M14,N
NLA12_VA-R14,1,0.08699,M16,J02
NLA12_CA-R03,1,0,M17,N
NLA12_NH-101,2,0,M16,N
NLA12_MN-126,1,0,B2I0330,N
NLA12_WY-124,1,0,M17,N
NLA12_ND-109,1,0.34641,M16,NA
NLA12_IL-120,1,0.09204,M16,J02
NLA12_ME-R08,1,0.06894,M15,J02
NLA12_ME-R02,1,0,M16,N
NLA12_AR-101,1,0.09665,M16,J03
NLA12_AL-105,2,0.30275,M17,NA
NLA12_CO-129,1,0.13027,M16,J03
NLA12_CA-R02,1,0,M17,N
NLA12_OK-119,1,0.07213,M16,J02
NLA12_MN-141,1,0,B2I0330,N
NLA12_MS-126,1,0.15754,M16,NA
NLA12_NE-110,1,0.94358,M16,NA
NLA12_WY-102,1,0.11028,M16,J03
NLA12_AR-105,1,0.09694,M16,J03
NLA12_VA-104,1,0.41527,M16,NA
NLA12_MN-110,1,0.17,B2I0330,NA
NLA12_ID-210,1,0,M17,N
NLA12_ID-145,1,0,M17,N
NLA12_SD-189,1,1.34687,M16,NA
NLA12_MO-101,1,0.08266,M17,J02
NLA12_ND-149,1,1.58937,M16,NA
NLA12_ND-164,1,0.87825,M16,NA
NLA12_MN-R12,1,0.42934,M16,NA
NLA12_ME-134,1,0.11294,M16,J03
NLA12_NY-R06,1,0.08147,M16,J02
NLA12_NY-R03,1,0.06832,M16,J02
NLA12_CA-166,1,0,M16,N
NLA12_CA-112,1,0,M16,N
NLA12_MN-157,1,0.22,B2I0330,NA
NLA12_ME-R15,1,0,M16,N
NLA12_ME-R06,1,0,M16,N
NLA12_ME-R10,1,0,M15,N
NLA12_MN-R01,1,0.10524,M16,J03
