SITE_ID,VISIT_NO,SAM_CODE,ALUMINUM_RESULT_mgL,AMMONIA_N_RESULT_mgL,ANC_RESULT_ueqL,CALCIUM_RESULT_mgL,CHLORIDE_RESULT_mgL,COLOR_RESULT_PtCo,COND_RESULT_uscm,DOC_RESULT_mgL,MAGNESIUM_RESULT_mgL,NITRATE_N_RESULT_mgL,NITRATE_NITRITE_N_RESULT_mgL,NITRITE_N_RESULT_mgL,NTL_RESULT_mgL,PH_RESULT,POTASSIUM_RESULT_mgL,PTL_RESULT_ugL,SILICA_RESULT_mgL,SODIUM_RESULT_mgL,SULFATE_RESULT_mgL,TOC_RESULT_mgL,TSS_RESULT_mgL,TURB_RESULT_NTU,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID
NLA12_MA-105,1,REGULAR,0.034,0.027,101.8,1.807,7.234,40,43.4,5.42,0.532,0.004,0.005,0.001,0.325,6.74,0.417,24,1.188,5.236,2.692,NA,NA,0.71,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.1,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666380
NLA12_IN-183,1,REGULAR,0,0.102,3002,26.64,21.592,30,350,10.07,12.74,0.003,0.003,0,1.545,7.83,6.221,416,0.733,28.04,0.185,NA,NA,5.96,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.1,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666410
NLA12_WA-124,1,REGULAR,0.006,0.0092,1318,13.48,2.103,14,145.1,7.82,3.197,0.002,0.002,0,0.746,8.79,2.18,25,2.796,11.94,3.033,NA,NA,1.01,121206.1,120912.1,120908.1,121206.1,120911.1,120908,120908.1,121003.1,121206.1,120911.1,120911.1,120911.1,120913.1,120908.1,121206.1,120913.1,120911.2,121206.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664760
NLA12_MA-111,1,REGULAR,0.004,0.0076,101.3,0.996,8.079,20,48.7,1.5,1.019,0.003,0.004,0.001,0.224,6.71,0.708,29,3.824,5.96,3.951,NA,NA,0.51,121206.1,120912.1,120911.1,121206.1,120911.1,120911,120911.1,121003.1,121206.1,120911.1,120911.1,120911.1,120913.1,120911.1,121206.1,120913.1,120911.2,121206.1,120911.1,NA,NA,120911.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665930
NLA12_WA-120,1,REGULAR,0,0.011,2801,45.07,0.641,14,284,3.25,6.386,0.003,0.003,0,0.239,8.3,1.025,50,18.797,5.919,13.187,NA,NA,0.41,121206.1,120912.1,120908.1,121206.1,120911.1,120908,120908.1,121003.1,121206.1,120911.1,120911.1,120911.1,120913.1,120908.1,121206.1,120913.1,120911.2,121206.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664040
NLA12_UT-110,2,REGULAR,0,0.0071,2980,48.52,15.95,21,590,4.93,21.87,0,0,0,0.415,8.24,2.943,21,2.24,47.98,130.858,NA,NA,0.93,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.1,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662270
NLA12_UT-290,1,REGULAR,0,0.135,3117,50.5,20.184,19,627,5.35,22.21,0.003,0.003,0,0.849,8.08,3.736,66,9.755,52.42,136.524,NA,NA,1.41,121205.1,120912.1,120908.1,121205.1,120911.1,120908,120908.1,121003.1,121205.1,120911.1,120911.1,120911.1,120913.1,120908.1,121205.1,120913.1,120911.2,121205.1,120911.1,NA,NA,120908.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662060
NLA12_MA-108,1,REGULAR,0,0.0055,205.6,3.519,24.376,23,107.6,3.93,1.979,0.002,0.002,0,0.474,6.73,0.722,48,3.686,13.21,0.286,NA,NA,3.86,121206.1,120912.1,120911.1,121206.1,120911.1,120911,120911.1,121003.1,121206.1,120911.1,120911.1,120911.1,120913.1,120911.1,121206.1,120913.1,120911.2,121206.1,120911.1,NA,NA,120911.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665900
NLA12_WY-125,1,REGULAR,0.004,0.039,73,0.855,0.427,11,5.63,1.12,0.141,0.006,0.007,0.001,0.296,6.53,0.224,29,1.253,0.52,0.441,NA,NA,1.88,121206.1,120912.1,120911.1,121206.1,120911.1,120911,120911.1,121003.1,121206.1,120911.1,120911.1,120911.1,120913.1,120911.1,121206.1,120913.1,120911.2,121206.1,120911.1,NA,NA,120911.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665150
NLA12_OK-102,1,REGULAR,NA,0.1,1630,29.8,11.5,1,495,6.04,22.1,0.05,0.05,NA,2.12,8.45,6.05,128,0.869,28.5,108,NA,12,10.4,NA,NH3-20120912,ANC-20120913,CA-20120919,CL-20120914,COLOR-20120912,COND-20120911,DOC-20120913,MG-20120919,NO2NO3-00130,NO2NO3-00130,NA,TN-20121219,PH-20120911,K-20120919,TP-20120918,SIO2-20120919,NA-20120919,SO4-20120914,NA,TSS-20120911,TURB-20120911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642200
