SITE_ID,VISIT_NO,DATE_COL_iso,dD,d18O,d_excess,E_I,RT,YEAR,SAMPLE_ID,SAMPLED_PHAB,L_LkAreakm2,DDHzSqrtA_sc,DDVrtDix_sc,L_DDHzSqrtA_sc,L_DDVrtDix_sc,URBAN,VertDD_use,HorizDD_use,L_VertDD_use,L_HorizDD_use,ELEV_use,DpthMx_use,LkArea_km2,LATdd_use,LONdd_use,L_DpthMx_use,L_ELEV_use,Lake_Origin_use,ECOWSA9_2015,RT_NLA12_2015,ECOP5_2015,ECOP6_2015,SID,RESAMPLED12,VertDD_CONDc315,HorizDD_CONDc315,Drawdown_CONDus15,RTS12_15
NLA12_NJ-104,1,2012-07-15,-30.2,-4.81,8.25,NA,NA,2012,638960,YES,-0.430155048,4.01105e-4,0.138888889,-1.982920534,-0.827137711,Yes,0.5,0.244444444,-0.22184875,0.094975513,15.44,3.6,0.37140261,39.96875,-74.57821,0.556302501,1.215901813,MAN-MADE,CPL,T,CPL,CPL,NLA06608-0013,YES,Med,Med,MEDIUM,3
NLA12_NJ-105,1,2012-09-13,-21.41,-1.94,-5.87,NA,NA,2012,629930,YES,-0.920853217,0,0,-2,-2,Yes,0,0,-1,0,347.89,1.4,0.119990478,41.148725,-74.402244,0.146128036,2.542688522,MAN-MADE,NAP,S,APPS,NAP,NLA12_NJ-105,NO,Small,Small,SMALL,2
NLA12_NJ-106,1,2012-09-14,-24.93,-3.36,1.98,NA,NA,2012,629870,YES,-1.329639342,0,0,-2,-2,Yes,0,0,-1,0,69.01,4.4,0.046812373,41.029875,-74.300356,0.643452677,1.845160078,MAN-MADE,NAP,T,APPS,NAP,NLA12_NJ-106,NO,Small,Small,SMALL,3
NLA12_NJ-107,1,2012-06-26,-35.58,-4.75,2.43,NA,NA,2012,629900,YES,-1.4629928190000001,0,0,-2,-2,Yes,0,0,-1,0,306.91,2.9,0.034435563,41.246546,-74.522233,0.462397998,2.488423794,MAN-MADE,NAP,T,APPS,NAP,NLA12_NJ-107,NO,Small,Small,SMALL,3
NLA12_NJ-108,1,2012-09-25,-35.04,-5.66,10.24,NA,NA,2012,629840,YES,-0.54215666,0,0,-2,-2,Yes,0,0,-1,0,21.56,2.1,0.286974522,39.851902,-74.789568,0.322219295,1.353339095,MAN-MADE,CPL,S,CPL,CPL,NLA12_NJ-108,NO,Small,Small,SMALL,2
NLA12_NJ-118,1,2012-07-10,-42.95,-6.97,12.81,NA,NA,2012,638930,YES,-1.596566594,0,0,-2,-2,Yes,0,0,-1,0,282.49,4.3,0.025318234,40.79922,-74.78467,0.633468456,2.452537744,MAN-MADE,NAP,T,APPS,NAP,NLA12_NJ-118,NO,Small,Small,SMALL,3
NLA12_NJ-119,1,2012-07-11,-39.26,-5.69,6.22,NA,NA,2012,633860,YES,-1.545700807,0,0,-2,-2,Yes,0,0,-1,0,254.19,3.1,0.028464214,41.05569,-74.48188,0.491361694,2.406863652,MAN-MADE,NAP,T,APPS,NAP,NLA12_NJ-119,NO,Small,Small,SMALL,3
NLA12_NJ-131,1,2012-07-09,-31.61,-5.01,8.44,NA,NA,2012,646430,YES,-0.925593019,0,0,-2,-2,Yes,0,0,-1,0,9.02,1.6,0.118688046,39.40621,-74.77663,0.204119983,1.000867722,MAN-MADE,CPL,R,CPL,CPL,NLA12_NJ-131,NO,Small,Small,SMALL,1
NLA12_NJ-131,2,2012-09-18,-29.29,-4.52,6.9,NA,NA,2012,667100,YES,-0.925593019,0,0,-2,-2,Yes,0,0,-1,0,9.02,1.8,0.118688046,39.40619,-74.77646,0.255272505,1.000867722,MAN-MADE,CPL,R,CPL,CPL,NLA12_NJ-131,NO,Small,Small,SMALL,1
NLA12_NJ-R01,1,2012-09-20,-29.23,-3.85,1.61,NA,NA,2012,641240,YES,-1.439956104,0,0,-2,-2,Yes,0,0,-1,0,375.96,3.8,0.036311476,41.18526,-74.34728,0.579783597,2.576295269,NATURAL,NAP,R,APPS,NAP,NLA06608-0249,YES,Small,Small,SMALL,1
NLA12_NM-104,1,2012-06-01,-85.46,-12.25,12.51,NA,NA,2012,625430,YES,-0.389339132,0.00237965,0.028292683,-1.90729162,-1.416884204,Yes,0.58,1.52,-0.167491087,0.401400541,1915.69,20.5,0.408000662,35.97575,-105.91711,1.311753861,3.282551877,MAN-MADE,XER,S,WEST,WEST,NLA06608-0564,YES,Small,Small,SMALL,2
NLA12_NM-104,2,2012-08-15,-78.95,-10.84,7.8,NA,NA,2012,660380,YES,-0.389339132,0.053385578,0.285714286,-1.198009549,-0.529127695,Yes,4,34.1,0.612783857,1.545307117,1915.69,14,0.408000662,35.97667,-105.91754,1.146128036,3.282551877,MAN-MADE,XER,S,WEST,WEST,NLA06608-0564,YES,Large,Large,LARGE,2
NLA12_NM-105,1,2012-05-30,21.77,7.06,-34.74,NA,NA,2012,623060,YES,0.513082246,0.072953251,2.78125,-1.081166587,0.445798736,No,4.45,131.7,0.658011397,2.122870923,2059.13,1.6,3.25898413,35.75939,-105.13904,0.204119983,3.313894626,MAN-MADE,SPL,S,CENPL,CENPL,NLA06608-0628,YES,Large,Large,LARGE,2
NLA12_NM-117,1,2012-06-03,-11.86,3.15,-37.08,NA,NA,2012,625370,YES,-0.613898109,0.011090124,0.077659575,-1.675920878,-1.057200642,No,0.73,5.47,-0.080921908,0.810904281,2650.12,9.4,0.24327747,36.89536,-105.136,0.973127854,3.423429386,NATURAL,WMT,T,WEST,WEST,NLA12_NM-117,NO,Med,Med,MEDIUM,3
NLA12_NM-117,2,2012-08-19,-6.42,4.14,-39.54,NA,NA,2012,660290,YES,-0.613898109,0.050483377,0.197727273,-1.218363966,-0.682506481,No,1.74,24.9,0.264817823,1.413299764,2650.12,8.8,0.24327747,36.8948,-105.13552,0.944482672,3.423429386,NATURAL,WMT,T,WEST,WEST,NLA12_NM-117,NO,Large,Large,LARGE,3
NLA12_NM-129,1,2012-06-10,4.36,3.65,-24.82,NA,NA,2012,623090,YES,1.182396128,0.00592382,0.192857143,-1.79795273,-0.692809696,No,2.7,23.11,0.447158031,1.38219721,1146.68,14,15.21935083,35.35147,-103.51453,1.146128036,3.059820814,MAN-MADE,SPL,S,CENPL,CENPL,NLA12_NM-129,NO,Large,Large,LARGE,2
NLA12_NM-132,1,2012-05-28,-75.44,-8.54,-7.11,NA,NA,2012,625190,YES,-0.354775561,0.003234642,0.24375,-1.878287797,-0.595593949,No,0.78,2.15,-0.055517328,0.498310554,2066.16,3.2,0.441798706,36.83189,-104.22652,0.505149978,3.315374093,MAN-MADE,WMT,T,WEST,WEST,NLA12_NM-132,NO,Small,Small,SMALL,3
NLA12_NM-133,1,2012-06-04,-12.62,4.61,-49.47,NA,NA,2012,624980,YES,-1.934539851,0.038951054,0.610526316,-1.310237951,-0.207239796,No,1.16,4.2,0.100370545,0.716003344,2999.7,1.9,0.011626799,36.88343,-105.24752,0.278753601,3.477222578,MAN-MADE,WMT,T,WEST,WEST,NLA12_NM-133,NO,Med,Small,MEDIUM,3
NLA12_NM-134,1,2012-06-07,-99.06,-13.11,5.85,NA,NA,2012,624740,YES,-0.064557941,0,0,-2,-2,Yes,0,0,-1,0,1718.89,16.9,0.861870585,36.8016,-108.10184,1.227886705,3.235500671,MAN-MADE,XER,S,WEST,WEST,NLA06608-3839,YES,Small,Small,SMALL,2
NLA12_NM-138,1,2012-06-08,-76.77,-9.32,-2.23,NA,NA,2012,624710,YES,-0.812614554,0,0,-2,-2,No,0,0,-1,0,2290.19,8,0.153952039,35.98186,-108.92952,0.903089987,3.360061105,MAN-MADE,WMT,T,WEST,WEST,NLA12_NM-138,NO,Small,Small,SMALL,3
NLA12_NM-150,1,2012-06-06,-90.59,-11.26,-0.54,NA,NA,2012,625280,YES,-0.763415224,0,0,-2,-2,Yes,0,0,-1,0,1614.29,1.9,0.172418863,36.71359,-108.15627,0.278753601,3.208250504,MAN-MADE,XER,T,WEST,WEST,NLA06608-4684,YES,Small,Small,SMALL,3
NLA12_NM-152,1,2012-05-29,5.84,4.84,-32.9,NA,NA,2012,625220,YES,-0.598596815,0.019721212,1.24,-1.526933484,0.096910013,No,1.24,9.9,0.127104798,1.037426498,2038.53,1,0.252001534,36.17769,-104.8177,0,3.309530098,MAN-MADE,SPL,T,CENPL,CENPL,NLA06608-3700,YES,Large,Med,LARGE,3
NLA12_NM-160,1,2012-06-11,-33.85,-2.66,-12.58,NA,NA,2012,623120,YES,0.64097198,0.038725678,1.045751634,-1.31224211,0.023561762,Yes,3.555555556,81,0.562953389,1.913813852,2012.39,3.4,4.374938783,35.66385,-105.23472,0.531478917,3.303927907,MAN-MADE,SPL,T,CENPL,CENPL,NLA06608-2260,YES,Large,Large,LARGE,3
NLA12_NM-161,1,2012-08-16,-79.45,-9.95,0.15,NA,NA,2012,660350,YES,-1.447323684,0,0,-2,-2,No,0,0,-1,0,3307.2,2.5,0.035700666,36.59544,-105.41694,0.397940009,3.519591757,NATURAL,WMT,S,WEST,WEST,NLA12_NM-161,NO,Small,Small,SMALL,2
NLA12_NM-162,1,2012-08-17,-30.49,0.25,-32.51,NA,NA,2012,660320,YES,-0.759899077,0.035738458,0.186206897,-1.339718484,-0.707285732,No,1.08,14.9,0.071882007,1.201397124,2232.51,5.8,0.173820471,36.87228,-106.92818,0.763427994,3.348987901,MAN-MADE,WMT,T,WEST,WEST,NLA12_NM-162,NO,Med,Large,LARGE,3
NLA12_NV-101,1,2012-06-06,-87.57,-8.82,-17.03,NA,NA,2012,626030,YES,0.001419697,0,0,-2,-2,No,0,0,-1,0,1678.23,1.1,1.003274322,41.93239,-119.17619,0.041392685,3.225110185,MAN-MADE,XER,T,WEST,WEST,NLA06608-1862,YES,Small,Small,SMALL,3
NLA12_NV-101,2,2012-07-17,-71.16,-5.14,-30.03,NA,NA,2012,651380,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XER,T,WEST,WEST,NLA12_NV-101,NO,Not Assessed,Not Assessed,NOT ASSESSED,3
NLA12_NV-102,1,2012-06-20,-83.01,-9.59,-6.3,NA,NA,2012,623210,YES,-0.628926141,0.076221504,0.933333333,-1.064384407,-0.025334819,No,1.96,36.95,0.31386722,1.57921178,1604,2.1,0.235003245,37.90764,-114.26856,0.322219295,3.205475037,MAN-MADE,XER,S,WEST,WEST,NLA06608-2797,YES,Med,Large,LARGE,2
